City;Population_1921;Population_1931;Population_1938
Aleksandrów (Łódzki);8236;11554;13333
Aleksandrów Kujawski;8193;9565;9554
Andrychów;4361;4171;5698
Augustów;8762;12147;17861
Baranowicze;;;30119
Baranów (Sandomierski);1794;1815;2000
Barcin;1628;2098;2394
Barysz;;;6240
Beresteczko;;;6486
Bereza Kartuska;;;4879
Bereźne;;;6043
Bełchatów;6249;8587;10264
Bełz;;;4897
Biała Krakowska (dziś część Bielska-Białej);7746;22891;30337
Biała Podlaska;13005;17549;22000
Biała Rawska;2323;2903;3200
Białystok;76792;91335;105346
Biecz;3673;4055;4960
Bielsk Podlaski;4759;7029;8214
Bielsko (dziś część Bielska-Białej);19785;22573;32000
Bieruń Stary;2600;3059;4000
Biłgoraj;5603;8177;8828
Bnin (Kórnik);1242;1297;
Bobrek (dziś część Cieszyna);;;
Bochnia;11014;12274;14780
Bogumin;;;2581
Bogumin Nowy;;;10700
Bohorodczany;;;3166
Bojanowo;1862;2333;3025
Bolechów;;;11744
Borek;2097;2052;2280
Borszczów;;;6304
Borysław;;;45166
Boćki;;;
Bołszowce;;;4990
Brańsk;3739;4204;4611
Brasław;;;4500
Brodnica;6963;8521;11220
Brody;;;12401
Brok;2653;2895;3200
Brzesko;3144;3672;3863
Brzeziny;10633;13045;14000
Brześć Kujawski;3818;5837;6775
Brześć nad Bugiem;;;57008
Brzeżany;;;11731
Brzostek;1303;1396;
Brzozów;4160;4242;4750
Buczacz;;;10672
Budzanów;;;4933
Budzyń;1889;1951;
Buk;3480;3637;3586
Bursztyn;;;4384
Busk;;;X
Busko (dziś Busko-Zdrój);3949;5026;5570
Bydgoszcz;87643;117528;141000
Bóbrka (Ukraina);;;5609
Będzin;27855;47835;50721
Błaszki;3896;4969;4986
Błażowa;5123;4631;5008
Błonie;5337;7642;8700
Chełm;23221;29222;30900
Chełmno;10208;12531;13452
Chełmża;10648;11098;12983
Chmielnik;7690;8051;8250
Chodecz;1685;1824;1900
Chodorów;;;X
Chodzież;5646;7511;8478
Chojnice;10409;14255;16975
Chorostków;;;7310
Choroszcz;2405;2905;3028
Chorzele;2454;3032;4000
Chorzów;74811;80734;109500
Chrzanów;11392;17833;21651
Chyrów;;;4314
Chęciny;5046;5429;5657
Ciechanowiec;3291;4029;6169
Ciechanów;11977;13954;15200
Ciechocinek;2451;4711;5220
Cieszanów;2248;2661;3197
Cieszyn;15268;17791;20385
Ciężkowice;1934;2079;
Czarnków;3970;4737;4986
Czarny Dunajec;X_oba;2783;X_oba
Czeladź;17202;21035;21235
Czempiń;2054;2103;2406
Czerniejewo;1343;1392;1587
Czersk;X_oba;7757;8500
Czortków;;;19038
Częstochowa;80473;117588;138000
Dawidgródek;;;10566
Delatyn;;;8864
Dobczyce;2920;3112;3380
Dobra;3055;2871;3009
Dobromil;;;X
Dobrzyń nad Drwęcą;4085;5176;5694
Dobrzyń nad Wisłą;2693;2838;3207
Dokszyce;;;3184
Dolina;;;11102
Dolsk;1558;1578;1876
Drohiczyn nad Bugiem;1972;2309;2800
Drohiczyn Poleski;;;3457
Drohobycz;;;3500
Druskieniki;;;3000
Dubienka;2964;3825;4500
Dubno;;;18167
Dukla;2082;2157;2300
Działdowo;3568;5103;5859
Działoszyce;6755;6238;5972
Dzisna;;;4863
Dąbie;3765;3825;4212
Dąbrowa (Tarnowska);2660;6017;6100
Dąbrowa Grodzieńska (dziś Dąbrowa Białostocka);3014;3482;4096
Dąbrowa Górnicza;39860;36987;41373
Dąbrowica;;;7565
Dębica;3922;9276;10575
Fordon (dziś część Bydgoszczy);2142;3733;4921
Frysztat;;;7124
Garwolin;5082;6262;7783
Gdynia;0;30210;120000
Gliniany (dziś Ukraina);;;4689
Gniew;3131;3639;3500
Gniewkowo;3330;3873;4657
Gniezno;25694;29924;33100
