City;Population
Warszawa;936713
Łódź;451974
Lwów;316177
Poznań;169422
Kraków;183706
Wilno;128954
Katowice;104868
Częstochowa;88894
Bydgoszcz;87643
Lublin;94543
Sosnowiec;86497
Białystok;76792
Chorzów;74811
Radom;61599
Stanisławów (dziś Iwano-Frankiwsk);52529
Kielce;43695
Włocławek;43574
Kalisz;44613
Toruń;39424
Przemyśl;47958
Piotrków (Trybunalski);41113
Grudziądz;33516
Grodno;35148
Brześć nad Bugiem;29553
Będzin;38665
Pabianice;38537
Tarnów;35347
Borysław;35761
Równe;30482
Tomaszów Mazowiecki;28285
Siemianowice Śląskie;19000
Dąbrowa Górnicza;30871
Siedlce;30676
Tarnopol;32003
Łuck;23390
Kołomyja;31708
Płock;27750
Zawiercie;30031
Drohobycz;26736
Pińsk;23468
Inowrocław;24277
Stryj;27358
Nowy Sącz;27796
Gdynia;23164
Gniezno;25694
Świętochłowice;23000
Chełm;23221
Hajduki Wielkie;25000
Kowel;20818
Rzeszów;24942
Zgierz;21129
Ostrowiec (Świętokrzyski);22215
Żyrardów;21336
Łomża;22014
Włodzimierz (dziś Ukraina);12138
Zamość;19023
Pruszków;15132
Kutno;18274
Rybnik;17500
Radomsko;20572
Mysłowice;20000
Zduńska Wola;18923
Baranowicze;11471
Biała Krakowska (dziś część Bielska-Białej);17072
Tczew;16251
Bielsko (dziś część Bielska-Białej);19785
Jarosław (nad Sanem);19973
Ruda Śląska;18000
Sambor;19417
Suwałki;16780
Czeladź;17202
Skierniewice;16647
Krzemieniec;16068
Mława;17003
Ostrów Wielkopolski;16366
Lida;13401
Leszno;16506
Czortków;14085
Jaworzno;15932
Lipiny;18000
Chrzanów;14085
Cieszyn;15268
Zakopane;8808
Łowicz;16451
Ostrów Mazowiecka;14469
Biała Podlaska;13088
Międzyrzec (nad Krzną);14211
Kamień Koszyrski;10971
Słonim;9643
Tarnowskie Góry;14399
Grodzisk Mazowiecki;11254
Pułtusk;13742
Wołkowysk;11100
Otwock;8560
Ozorków;12589
Skarżysko-Kamienna;8163
Sanok;12261
Chojnice;10409
Łuków;12571
Ciechanów;11977
Koło;13040
Ostrołęka;9145
Hrubieszów;10595
Starogard (Gdański);10466
Złoczów;11130
Wieluń;11032
Wołomin;6404
Brzeziny;10633
Mińsk Mazowiecki;11018
Krotoszyn;11110
Ostróg;13303
Gródek Jagielloński;10682
Jędrzejów;11740
Dubno;9146
Wejherowo;8786
Chełmno;10208
Brody;10867
Horodenka;10054
Bochnia;11014
Ruda Pabianicka;5127
Augustów;8762
Sokal;10183
Kałusz;8697
Krosno;10454
Oświęcim;12187
Brzeżany;10083
Dawidgródek;9851
Kraśnik;8903
Aleksandrów (Łódzki);8236
Mikołów;8377
Rawa Ruska;8970
Końskie;9119
Chełmża;10698
Śniatyn;10597
Rawicz;9250
Sochaczew;5445
Wyszków;9084
Bolechów;9017
Jaworów;9024
Szydłowiec;8296
Łęczyca;10267
Sieradz;9284
Krasnystaw;8943
Tomaszów Lubelski;7639
Lipno;8630
Nowy Targ;8071
Płońsk;9352
Konin;10045
Żółkiew;7867
Nakło (nad Notecią);7885
Kościan;7803
Buczacz;7517
Zdołbunów;7789
Turka;10056
Jasło;10391
Kobryń;8208
Sierpc;6722
