Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;272 774 564;387 805 260;619 453 072;897 609 482;1 184 043 712;771 061 082;578 762 896;479 283 937;455 541 943;391 359 810;437 198 720;335 296 411;400 139 895;612 770 529;528 128 032
KIELECKIE;374 614 621;499 393 282;738 624 647;1 171 917 518;1 475 829 464;930 784 684;728 899 523;615 538 850;605 993 213;486 776 092;523 217 643;467 643 663;508 006 693;775 543 304;668 416 870
KRAKOWSKIE;276 881 654;381 401 411;539 089 757;763 940 752;998 261 136;589 940 615;490 757 118;358 890 272;399 884 547;348 063 051;316 397 921;300 200 728;332 155 723;549 215 002;473 351 482
LUBELSKIE;398 149 243;625 977 608;940 268 792;1 404 871 245;1 750 539 248;1 111 288 870;834 914 748;659 998 365;694 502 946;593 775 626;641 859 425;529 331 537;617 779 416;987 465 286;851 065 894
LWOWSKIE;401 293 195;531 406 296;806 869 683;1 117 935 269;1 461 965 279;877 304 415;722 989 683;537 771 235;600 988 941;499 215 855;523 875 590;497 389 695;579 024 150;906 473 657;781 261 705
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;200 311 317;295 885 594;453 285 314;580 674 568;851 837 204;546 928 768;399 257 942;342 815 162;346 846 759;258 816 229;314 551 645;262 933 055;322 605 523;526 726 894;453 969 675
POLESKIE;252 313 718;329 138 175;510 182 190;685 641 038;985 953 254;703 970 483;526 489 251;400 916 690;433 967 974;328 786 905;393 481 151;352 310 379;409 554 374;687 410 469;592 457 895
POMORSKIE;259 043 758;363 979 997;485 386 409;774 974 774;944 663 946;614 257 955;497 252 147;373 383 416;344 280 261;298 551 212;365 870 642;260 744 691;303 720 140;456 888 708;393 778 295
POZNAŃSKIE;511 178 602;780 352 687;1 136 647 612;1 700 297 060;2 089 302 116;1 400 485 301;1 102 592 253;779 687 107;754 780 707;619 935 844;762 561 000;456 350 231;667 605 287;975 638 400;840 872 666
STANISŁAWOWSKIE;177 819 169;274 524 713;413 709 541;564 579 204;732 407 434;453 437 233;403 228 821;276 760 268;288 155 752;223 385 138;262 113 647;246 446 281;266 353 310;425 053 616;366 340 611
TARNOPOLSKIE;198 804 102;323 399 030;491 429 614;735 810 619;893 168 787;538 471 159;443 550 232;351 761 545;337 347 902;302 534 046;335 951 182;301 309 735;346 962 666;580 187 395;500 045 633
WARSZAWSKIE;408 704 401;610 449 729;848 771 635;1 324 970 182;1 718 263 830;1 134 037 485;887 561 372;628 213 552;637 126 909;591 934 121;662 262 862;472 839 823;585 447 513;897 343 105;773 392 364
WOŁYŃSKIE;307 188 338;462 880 626;684 628 534;979 236 050;1 242 266 262;842 604 756;628 967 286;535 633 195;563 475 452;459 706 740;530 084 761;437 090 973;531 543 172;895 551 677;771 848 387
ZIEMIA WILEŃSKA;250 755 147;287 858 534;474 238 674;585 235 644;808 169 568;575 463 839;389 898 240;340 089 291;335 930 120;248 986 064;311 139 312;247 506 073;299 336 939;494 667 353;426 338 545
ŁÓDZKIE;307 290 585;420 333 801;593 337 738;884 435 004;1 281 544 217;774 002 695;622 252 106;445 999 637;460 145 429;405 152 075;459 675 742;350 622 857;406 159 226;643 756 658;554 834 021
ŚLĄSKIE;71 886 958;103 242 373;132 703 335;216 913 696;313 129 566;161 052 476;147 013 271;83 936 821;113 104 775;82 718 584;110 265 494;96 562 071;102 143 929;156 574 743;134 946 945
