Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;604183,9968;834798,2876;1005035,472;1341640,278;1424323,802;2243478,422;3268775,282;2248663,454;2139434,839;2366765,212;2662134,84;3460535,291;4069683,606;3921890,906;4453004,243
KIELECKIE;1229308,75;1687740,115;1853763,203;2379717,715;2555010,696;4041333,828;6631237,994;4578252,708;4164054,989;4564960,769;5103888,991;6634595,556;7802464,789;7519114,178;8537373,462
KRAKOWSKIE;1275399,198;1910458,44;2335894,07;3433076,169;3604329,227;5735860,909;7230046,512;4948608,765;4592222,737;5070778,702;5696644,374;7405124,115;8708627,328;8392368,947;9528886,813
LUBELSKIE;487236,9373;825519,9759;954598,6763;1267030,555;1305435,293;2038746,225;3014284,565;2074687,734;1936984,798;2135735,767;2397039,229;3115934,896;3664424,17;3531348,68;4009573,707
LWOWSKIE;1427351,357;1660211,021;2082005,244;2819754,662;3644700,665;6016599,507;8202066,362;5626645,633;5247077,781;5792753,62;6506896,82;8458379,248;9947284,006;9586043,157;10884211,69
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;74421,18744;108529,7641;132366,8627;184154,0333;199373,1759;317164,0958;513185,7947;354178,2834;328909,0427;361907,2448;405628,2239;527280,1224;620095,7624;597576,6587;678502,1462
POLESKIE;123750,1737;180467,1172;220104,2851;306217,8177;331524,7446;527391,6383;853343,4287;588940,1341;633669,8496;713208,8504;811256,4478;1054560,245;1240191,525;1195153,317;1357004,292
POMORSKIE;796315,3738;975976,4191;1246946,218;1464537,553;1861446,474;2994547,052;4865911,099;3357208,866;2983804,601;3258979,078;3634684,4;4724762,041;5556448,642;5354663,288;6079806,633
POZNAŃSKIE;3217636,404;3381996,11;4052157,962;5335927,295;5726024,871;9069508,428;14164604,62;9765677,398;9198828,835;10150139,71;11397514,31;14815741,08;17423714,39;16790963,04;19064841,8
STANISŁAWOWSKIE;741610,998;862598,2282;1081750,459;1465063,986;1893682,367;3126053,261;4261559,419;2923444,366;2726231,75;3009749,331;3380797,741;4394732,273;5168324,66;4980634,233;5655125,526
TARNOPOLSKIE;847899,6301;986226,9041;1236788,312;1675038,821;2165087,334;3574083,193;4872331,538;3342436,133;3116958,755;3441110,436;3865337,976;5024590,896;5909055,529;5694465,07;6465625,314
WARSZAWSKIE;48075292,81;60852711,22;68838611,17;96829287,37;118469124,8;146934834,7;135781827,9;97014435,64;77375846,35;73435918,9;74806136,45;74945440,42;77583328,33;79720819,11;90516833,41
WOŁYŃSKIE;210498,7685;357443,2203;448673,8524;596977,1756;670822,9623;1065420,307;1851118,734;1280016,2;1219399,561;1346290,766;1512322,551;1965882,976;2311931,838;2227972,818;2529691,073
ZIEMIA WILEŃSKA;906935,4199;1068527,948;1264091,111;1689184,603;1811682,248;2872837,967;4104444,694;2821649,255;2730411,967;3029547,516;3414303,712;4438287,014;5219546,22;5029995,655;5711171,609
ŁÓDZKIE;1765724,174;3987029,883;4742821,746;6350169,211;6503762,253;10100664,35;16573021,19;11443661,18;10351798,39;11337125,18;12667098,71;16466086,34;19364565,3;18661330,93;21188500,09
ŚLĄSKIE;2158354,009;2976425,702;3573283,402;4788438,03;5086754,055;8020642,785;11745195,39;8081115,465;7649820,309;8455167,803;9504808,28;12355393,87;14530279,18;14002604,45;15898875,96
