Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;1800022,682;2057832,382;2076945,376;2578014,309;3353683,326;3905608,786;4053637,417;3663575,576;4110947,637;4504496,988;4718996,844;4915160,307;5012451,056;5011660,075;5108950,824
KIELECKIE;3167857,486;3621576,429;3655213,361;4537043,899;5902142,754;6873475,626;7133991,013;6447521,706;7234851,191;7927458,163;8304956,171;8650183,983;8821405,842;8820013,794;8991235,653
KRAKOWSKIE;4773518,011;5068707,649;5115785,429;5689504,56;7165488,465;8032577,955;8252456,489;7385946,339;8066140,296;8684707,766;9098265,279;9322870,565;9434267,542;9433361,875;9544758,852
LUBELSKIE;2134873,394;2440642,358;2463310,862;3057591,559;3977555,048;4632152,9;4807718,679;4345095,261;4875690,08;5342449,776;5596852,147;5829507,08;5944896,422;5943958,297;6059347,639
LWOWSKIE;5158014,924;5551165,132;5602723,941;6366835,434;8072653,265;9123499,639;9394062,205;8425695,672;9257336,123;10006898,94;10483417,94;10782559,93;10930924,7;10929718,49;11078083,26
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;794844,433;908686,668;917126,4822;1138385,834;1480901,629;1724617,936;1789983,63;1617742,199;1815290,372;1989071,799;2083789,504;2170410,322;2213371,453;2213022,175;2255983,307
POLESKIE;813064,3234;929516,1168;938149,3934;1164480,582;1514847,725;1764150,64;1831014,685;1654825,035;1856901,523;2034666,47;2131555,35;2220161,74;2264107,652;2263750,368;2307696,279
POMORSKIE;2128535,727;2433396,973;2455998,184;3048514,675;3965747,126;4618401,714;4793446,302;4332196,245;4861215,92;5326589,976;5580237,117;5812201,382;5927248,175;5926312,835;6041359,628
POZNAŃSKIE;5171671,307;5415626,338;5465926,273;5940067,808;7425714,108;8248643,812;8453145,54;7547144,398;8185235,201;8772395,722;9190128,852;9375750,508;9467812,862;9467064,388;9559126,742
STANISŁAWOWSKIE;1378123,943;1575506,857;1590140,047;1973765,82;2567629,473;2990191,755;3103524,66;2804887,555;3147402,211;3448709,405;3612933,662;3763119,306;3837606,54;3837000,953;3911488,187
TARNOPOLSKIE;1210873,592;1384301,939;1397159,233;1734227,84;2256019,67;2627299,417;2726878,139;2464483,9;2765430,671;3030170,956;3174464,811;3306423,79;3371871,188;3371339,095;3436786,492
WARSZAWSKIE;13699755,61;15076285,39;15216312,81;17891682,71;22919360,07;26220720,85;27087047,68;24371431,9;27013276,27;29367743,71;30766207,7;31813588,18;32333055,12;32328831,81;32848298,74
WOŁYŃSKIE;1466700,119;1676769,426;1692343,136;2100625,693;2732658,75;3182380,383;3302997,535;2985166,124;3349695,228;3670368,343;3845147,787;4004986,314;4084261,068;4083616,557;4162891,311
ZIEMIA WILEŃSKA;2298455,412;2513942,796;2537292,109;2956105,029;3776497,739;4306641,864;4445117,814;3996190,122;4419280,635;4797384,031;5025830,89;5189791,948;5271111,344;5270450,211;5351769,607
ŁÓDZKIE;4515026,198;4889096,747;4934506,315;5661535,323;7199470,878;8165280,029;8415417,973;7554831,173;8321798,062;9010670,563;9439750,114;9724374,68;9865539,284;9864391,604;10005556,21
ŚLĄSKIE;3350842,461;3830769,574;3866349,477;4799117,198;6243068,269;7270508,249;7546071,788;6819949,949;7652757,953;8385371,987;8784675,415;9149844,624;9330956,772;9329484,316;9510596,464
