Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;1131779,368;1383398,644;1357999,588;1923615,499;2291465,001;2559126,871;2674998,849;2327764,496;1984495,56;1488719,18;1291196,74;1122625,451;1131218,875;1297856,832;1412580,517
KIELECKIE;2180386,98;2572232,266;2543725,37;4161998,739;4827421,771;5354882,518;5597340,537;4870764,927;4152486,812;3115092,261;2701783,537;2251735,069;2268971,551;2603209,949;2833319,952
KRAKOWSKIE;3243576,773;3221504,159;3174288,771;4825811,196;5401784,273;6085280,663;6360809,602;5535130,141;4718879,941;3539986,291;3070302,861;2809805,711;2831314,088;3248390,222;3535530,752
LUBELSKIE;1889474,27;1945299,27;1927917,898;2790402,034;3164245,232;3543700,213;3704151,638;3223325,75;2747990,894;2061474,378;1787959,094;1580839,921;1592940,865;1827594,314;1989143,994
LWOWSKIE;2463934,081;2937755,865;2484942,277;3837817,406;4365658,94;4871054,071;5091605,338;4430677,843;3777298,143;2833635,059;2457669,921;2124654,041;2140917,749;2456292,756;2673416,055
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;382139,4198;569631,3519;546812,746;790266,5209;956692,1332;1069657,035;1118088,896;972952,8055;829474,1697;622250,8786;539690,975;472479,6373;476096,3536;546229,3097;594513,0941
POLESKIE;352744,0799;525813,5556;504750,227;729476,7885;883100,4306;1005729,849;1051267,219;914805,0692;779901,3178;585062,5589;507436,781;493228,9718;497004,5191;570217,4221;620621,6289
POMORSKIE;1359795,404;1836350,983;1938026,543;2816254,874;3457307,423;3914749,4;4092001,166;3560829,581;3035723,977;2277324,576;1975170,406;1860523,659;1874765,513;2150934,08;2341065,285
POZNAŃSKIE;4353112,907;4631404,609;5290527,508;7395596,053;8325537,893;9051416,315;9461245,749;8233107,071;7018993,741;5265474,419;4566854,175;3311680,239;3337030,343;3828602,691;4167030,937
STANISŁAWOWSKIE;1111185,958;1324870,292;1120660,242;1730780,399;1968826,581;2122184,141;2218272,255;1930324,344;1645664,798;1234536,775;1070739,116;726226,7069;731785,7951;839583,9344;913798,7174
TARNOPOLSKIE;1256123,257;1497679,46;1266833,317;1956534,364;2225630,048;2486934,969;2599538,248;2262099,23;1928513,768;1446723,033;1254772,618;1094518,748;1102897,022;1265362,935;1377214,331
WARSZAWSKIE;9943428,752;11951484,74;11194666,39;17636698,76;20423040,15;22859039,43;23894049,52;20792427,69;17726226,38;13297773,87;11533432,56;10162418,84;10240209,68;11748677,81;12787198,84
WOŁYŃSKIE;890569,0398;974281,9292;945142,5132;1690281,067;2203070,691;2492811,401;2605680,752;2267444,393;1933070,694;1450141,525;1257737,547;1180118,399;1189151,917;1364323,893;1484922,916
ZIEMIA WILEŃSKA;1064509,008;1397984,852;1148894,153;1758500,354;2027612,071;2297532,259;2401559,774;2089819,806;1781639,909;1336541,92;1159210,274;1096256,505;1104648,081;1267371,939;1379400,921
ŁÓDZKIE;4591935,518;4732882,02;4442287,633;6691838,239;7752551,079;8959077,407;9364725,926;8149116,225;6947388,79;5211758,168;4520264,966;4734306,485;4770546,445;5473287,649;5957097,353
ŚLĄSKIE;2998806,881;3194014,872;2829342,994;4532901,237;6275163,512;7000529,039;7317498,534;6367633,874;5428616,672;4072413,123;3532087,594;3050584,447;3073935,926;3526752,277;3838498,541
