Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;1000012,601;1143240,212;1153858,542;1432230,171;1863157,403;2169782,659;2252020,787;2035319,764;2283859,798;2502498,327;2621664,914;2730644,615;2784695,031;2784255,597;2838306,014
KIELECKIE;1759920,825;2011986,905;2030674,09;2520579,944;3278968,196;3818597,57;3963328,341;3581956,503;4019361,773;4404143,424;4613864,539;4805657,769;4900781,023;4900007,664;4995130,918
KRAKOWSKIE;2651954,451;2815948,694;2842103,016;3160835,866;3980826,925;4462543,309;4584698,05;4103303,522;4481189,053;4824837,648;5054591,821;5179372,536;5241259,745;5240756,597;5302643,807
LUBELSKIE;1186040,774;1355912,421;1368506,035;1698661,977;2209752,804;2573418,278;2670954,822;2413941,812;2708716,711;2968027,653;3109362,304;3238615,044;3302720,234;3302199,054;3366304,244
LWOWSKIE;2865563,847;3083980,629;3112624,412;3537130,797;4484807,369;5068610,911;5218923,447;4680942,04;5142964,513;5559388,302;5824121,078;5990311,071;6072735,946;6072065,825;6154490,701
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;441580,2406;504825,9266;509514,7123;632436,5744;822723,1272;958121,0754;994435,3501;898745,6661;1008494,651;1105039,889;1157660,836;1205783,512;1229650,807;1229456,764;1253324,059
POLESKIE;451702,4019;516397,8427;521194,1075;646933,6565;841582,0694;980083,6887;1017230,381;919347,2415;1031611,957;1130370,261;1184197,416;1233423,189;1257837,584;1257639,093;1282053,489
POMORSKIE;1182519,848;1351887,207;1364443,435;1693619,264;2203192,848;2565778,73;2663025,723;2406775,692;2700675,511;2959216,653;3100131,732;3229000,768;3292915,653;3292396,02;3356310,904
POZNAŃSKIE;2873150,726;3008681,299;3036625,707;3300037,671;4125396,727;4582579,895;4696191,967;4192857,999;4547352,89;4873553,179;5105627,14;5208750,282;5259896,035;5259480,215;5310625,968
STANISŁAWOWSKIE;765624,413;875281,5869;883411,1373;1096536,567;1426460,818;1661217,642;1724180,367;1558270,864;1748556,784;1915949,669;2007185,368;2090621,837;2132003,633;2131667,196;2173048,993
TARNOPOLSKIE;672707,5513;769056,6329;776199,5737;963459,9111;1253344,261;1459610,787;1514932,3;1369157,722;1536350,373;1683428,309;1763591,561;1836902,106;1873261,771;1872966,164;1909325,829
WARSZAWSKIE;7610975,337;8375714,107;8453507,117;9939823,727;12732977,82;14567067,14;15048359,82;13539684,39;15007375,71;16315413,17;17092337,61;17674215,66;17962808,4;17960462,12;18249054,86
WOŁYŃSKIE;814833,3993;931538,57;940190,631;1167014,274;1518143,75;1767989,101;1834998,63;1658425,624;1860941,793;2039093,524;2136193,215;2224992,397;2269033,926;2268675,865;2312717,395
ZIEMIA WILEŃSKA;1276919,673;1396634,886;1409606,727;1642280,572;2098054,299;2392578,813;2469509,897;2220105,623;2455155,908;2665213,351;2792128,272;2883217,749;2928395,191;2928027,895;2973205,337
ŁÓDZKIE;2508347,888;2716164,86;2741392,397;3145297,402;3999706,043;4536266,683;4675232,207;4197128,429;4623221,145;5005928,091;5244305,619;5402430,378;5480855,158;5480217,558;5558642,338
ŚLĄSKIE;1861579,145;2128205,319;2147971,932;2666176,221;3468371,26;4039171,249;4192262,104;3788861,083;4251532,196;4658539,993;4880375,23;5083247,013;5183864,873;5183046,842;5283664,702
