Region;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
BIAŁOSTOCKIE;35279075,22;32828515,25;33619019,77;34483324,15;39645870,33;41605684,94;42612395,34;41304975,88;40590617,24;38593319,65;37267316,75;37039385,96;37712684,66;39364967,54;41704578,5
KIELECKIE;68406239,46;63498295,71;64920932,57;66720335,69;76605116,8;80373086,78;82243687,17;79630552,73;78023968,38;74008736,99;71254154,29;70689695,4;72041912,93;74830480,92;79038609,61
KRAKOWSKIE;70021410,44;67295502,95;70153343,21;72882072,3;82351616,59;85174867,59;86362797,57;85187509,28;85215983,56;84549314,69;84107374,68;85415891,21;85974330,83;88366980,12;91347015,43
LUBELSKIE;41028491,76;38300236,51;39302556,89;40202806,07;46308699,8;48615158,68;49850815,98;48359018,51;47704953,63;45516942,57;44122006,53;43948558,44;44698887,15;46949016,36;49940222,14
LWOWSKIE;73301005,62;69901504,54;72517173,91;74986778,54;85191057,67;88474386,42;89948460,53;87969357,56;87673983,09;86365775,5;85372736,09;86281864,71;87028503,57;90030612,88;93765774,07
M. ST. WARSZAWA;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;11482168,82;10710227,12;10985721,72;11247232,76;12947806,32;13590809,06;13931731,15;13520710,2;13324296,39;12696338,84;12294625,06;12240731,79;12452013,1;13057595,5;13872135,53
POLESKIE;16219472,1;15063251,33;15415291,9;15847652,49;18189057,96;19078700,4;19529474,89;18973429,24;18603012,08;17620578,17;16974947,13;16845481,1;17177100,08;17823369,99;18829634,77
POMORSKIE;57699406,84;53453830,14;54660836,76;56337889,87;64527699,08;67641669,27;69204695,88;67396920,77;65910950,54;62166253,35;59725800,96;59134757,92;60455662,58;62204426,98;65527033,32
POZNAŃSKIE;104214055,7;99685961,13;103661984,6;107967878,5;121827647,6;126021349,8;127689175,9;126001098;125471394,1;123724763,4;122510845,4;124099947,6;125093756,2;127786654,8;131598486,8
STANISŁAWOWSKIE;30384423,35;28095826,35;28666598,82;29579715,63;33866278,24;35507771,93;36283324,57;35190624,19;34315711,54;32350526,91;30990697,4;30659493;31301392,71;32202956,51;33810856,49
TARNOPOLSKIE;15844008,32;14702111,07;15031866,98;15460872,24;17741577,69;18610627,88;19041002,45;18466965,61;18084799,18;17126602,87;16479509,06;16346788,47;16662151,32;17283208,12;18236128,17
WARSZAWSKIE;170793921,9;177783974,8;184018718,7;187275908,6;215798095;225789988;231246630,8;222652935,3;223082327;220089015,8;217624797;219295496,9;221477227;235309484,2;250973683,2
WOŁYŃSKIE;27624796,99;25711434,85;26335473,42;27011038,77;31056280,87;32591145,42;33381923,32;32372918,21;31819973,42;30252318,48;29219052,84;29046049,36;29570833,7;30876562,63;32715240,63
ZIEMIA WILEŃSKA;27802553,09;26348184,45;27247991,02;27979042,28;32024528,92;33421516,76;34129869,26;33228767,61;33078607,22;32285493,93;31756884,67;31959972,85;32310204,63;33818277,28;35648550,43
ŁÓDZKIE;65848807,2;63102693,53;65614681,5;66861004,46;76884833,49;80263046,68;82128995,61;79630533,89;80172751,79;79557140,85;79153232,9;80157602,73;80720399,55;85851472,25;91317974,56
ŚLĄSKIE;74205236,25;68252543,82;69335621,44;71748273,34;81987105,13;85956873,44;87659516,17;84361796,29;81740586,23;76915809,99;73203294,42;72089218,3;73741090,78;75145262,24;78437677,39
