District,Pszenica,Żyto,Jęczmień browarny,Jęczmień na kaszę,Owies,Gryka,Groch,Ziemniaki jadalne,Ziemniaki fabryczne,Siano - koniczyny,Siano - łąkowe,Słoma
AUGUSTOWSKI,15.08,10.46,0.0,11.38,11.69,13.6,18.89,2.95,2.72,4.03,3.28,2.2
BIAŁOSTOCKI,15.84,11.0,13.0,12.0,12.38,15.7,16.21,2.85,2.63,5.42,4.33,2.34
BIELSKI (BIELSK PODLASKI),14.91,10.0,11.75,11.23,11.16,13.28,14.42,2.82,2.51,4.41,3.21,1.8
GRODZIEŃSKI,15.76,10.38,11.21,10.88,11.57,12.44,16.88,2.48,2.24,4.25,3.42,1.95
ŁOMŻYŃSKI,16.73,10.6,12.0,12.0,11.6,14.7,18.0,2.05,1.9,5.26,3.6,2.1
OSTROŁĘCKI,16.78,10.42,12.5,11.72,11.48,14.73,15.56,2.32,1.9,5.25,4.34,1.96
OSTROWSKI (OSTRÓW MAZOWIECKA),16.53,10.89,12.2,12.2,12.41,14.5,18.44,2.43,2.43,5.58,4.28,1.99
SOKÓLSKI,14.68,9.78,11.25,10.69,10.38,12.42,13.86,2.41,0.0,3.63,3.18,1.71
SUWALSKI,15.06,9.89,11.33,10.33,11.39,14.33,17.18,2.79,0.0,4.16,3.37,2.48
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),16.36,11.07,12.5,12.08,12.57,14.2,17.5,2.17,1.57,4.79,3.31,1.94
WOŁKOWYSKI,15.05,9.83,11.4,10.91,10.84,13.27,14.96,2.4,2.16,4.2,2.91,1.81
WYSOKOMAZOWIECKI,16.14,10.71,12.75,11.83,11.55,0.0,15.33,2.67,2.5,4.55,3.68,1.87
BIAŁYSTOK (MIASTO),15.84,11.0,0.0,12.0,12.38,0.0,16.21,2.85,0.0,5.42,4.33,2.34
BĘDZIŃSKI,17.14,14.0,0.0,15.4,15.0,0.0,21.25,5.06,0.0,8.67,6.31,3.85
CZĘSTOCHOWSKI,16.81,12.15,14.0,12.6,12.78,0.0,29.0,3.14,3.0,6.7,5.06,2.65
IŁŻECKI,14.55,10.64,12.67,10.82,11.5,13.67,22.4,3.01,2.17,5.0,4.25,2.54
JĘDRZEJOWSKI,15.94,11.67,13.0,11.88,11.87,0.0,17.43,2.61,2.5,5.0,3.58,2.22
KIELECKI,18.2,12.6,0.0,12.14,13.0,0.0,21.33,3.01,2.6,5.67,4.56,2.88
KONECKI,17.0,11.71,0.0,12.67,13.43,0.0,24.25,2.08,0.0,6.0,4.5,2.63
KOZIENICKI,15.38,10.68,11.6,11.33,11.29,14.36,23.33,2.86,2.15,5.19,4.09,2.31
MIECHOWSKI,16.46,12.31,13.83,12.75,12.62,0.0,25.0,3.96,3.5,7.05,5.1,2.7
OLKUSKI,16.46,12.62,13.8,13.15,13.31,0.0,27.67,3.19,2.63,6.54,4.92,2.63
OPATOWSKI,14.62,10.92,12.0,10.67,10.92,0.0,19.4,2.62,0.0,5.0,4.4,2.05
OPOCZYŃSKI,16.42,12.36,0.0,13.3,13.82,16.5,24.25,2.72,0.0,6.7,4.94,3.32
PIŃCZOWSKI,12.53,12.0,12.75,11.78,11.47,15.0,21.88,3.29,0.0,4.95,3.92,2.75
RADOMSKI,15.59,11.0,12.67,11.43,12.29,14.83,21.5,3.07,2.8,5.48,3.73,2.33
SANDOMIERSKI,15.0,10.82,12.5,10.55,10.73,0.0,19.4,2.66,2.5,5.38,4.2,2.28
STOPNICKI,15.54,11.46,0.0,11.08,11.08,0.0,21.88,2.63,0.0,5.13,4.21,2.43
WŁOSZCZOWSKI,16.6,12.07,13.5,12.08,13.0,17.33,17.2,2.43,2.0,6.0,4.22,2.17
