District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki
AUGUSTOWSKI,8909.0,172782.0,36140.0,90660.0,488400.0
BIAŁOSTOCKI,17640.33624349272,350024.72929149645,48672.10690811012,209803.08256064157,1310554.5435396903
BIELSKI (BIELSK PODLASKI),24562.0,376850.0,105320.0,211680.0,1422400.0
GRODZIEŃSKI,35603.83763769321,571910.9266948467,82126.23506057633,121083.9092132504,1713542.7471495916
ŁOMŻYŃSKI,52940.14734860674,340093.69926067884,40885.80487809579,203764.61171967754,2018270.9035073433
OSTROŁĘCKI,42688.85265139327,334020.30073932116,33894.19512190421,102165.38828032246,1579329.096492657
OSTROWSKI (OSTRÓW MAZOWIECKA),33210.0,205240.0,25530.0,134320.0,444200.0
SOKÓLSKI,6766.0,378992.0,84300.0,190890.0,1731800.0
SUWALSKI,9840.0,354590.0,51000.0,165330.0,2246400.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),21641.0,175489.0,27000.0,80820.0,785300.0
WOŁKOWYSKI,14163.0,447738.0,83120.0,97260.0,1428800.0
WYSOKOMAZOWIECKI,37613.0,250250.0,43180.0,123030.0,829100.0
BIAŁYSTOK (MIASTO),253.663756507282,5033.27070850355,699.8930918898808,3016.9174393584303,18845.45646030964
BĘDZIŃSKI,10972.45106781266,88530.76631428006,29003.744693852033,48586.134482753776,512292.1509737435
CZĘSTOCHOWSKI,42006.398828956735,325554.95012630656,95638.36816193302,229315.3769521382,1983002.1400327035
IŁŻECKI,66728.0,397824.0,172770.0,270560.0,1992200.0
JĘDRZEJOWSKI,123139.34121147727,281243.74024436844,151465.9639811388,158075.07345094925,1272860.1424155983
KIELECKI,42520.0,258044.0,63927.0,100260.0,1514700.0
KONECKI,17920.0,163797.0,34290.0,80280.0,751900.0
KOZIENICKI,21490.0,328724.0,87080.0,209660.0,1105400.0
MIECHOWSKI,199057.65878852273,203466.2597556316,197018.0360188612,227294.92654905075,1402339.8575844017
OLKUSKI,23295.0,174563.0,113794.0,190350.0,1355600.0
OPATOWSKI,93010.0,300600.0,211440.0,309810.0,2077500.0
OPOCZYŃSKI,26360.0,318352.0,53578.0,165950.0,1335600.0
PIŃCZOWSKI,89770.0,203717.0,102741.0,124840.0,1432400.0
RADOMSKI,55574.360803203446,321673.2985402568,84108.81338565946,201985.4508645763,1332265.4524669612
SANDOMIERSKI,88456.0,187558.0,124500.0,167310.0,1231300.0
STOPNICKI,82740.0,231710.0,145340.0,209140.0,1579500.0
WŁOSZCZOWSKI,82006.0,186269.0,92430.0,132400.0,1016500.0
ZAWIERCIAŃSKI,22722.712784140556,183337.26558329255,60063.49504498813,100616.42310548248,1060899.4595832354
CZĘSTOCHOWA (MIASTO),1103.601171043267,8553.049873693431,2512.631838066984,6024.623047861805,52097.85996729651
SOSNOWIEC,719.8361480467815,5807.968102427375,1902.7602611598347,3187.4424117637377,33608.38944302102
RADOM (MIASTO),760.6391967965493,4402.701459743173,1151.1866143405307,2764.549135423688,18234.54753303878
BIALSKI (BIAŁA KRAKOWSKA),20873.365693830005,68416.65048403488,31239.538128226704,141635.94612033258,446302.17342475953
BOCHEŃSKI,39780.0,96440.0,35690.0,87400.0,715400.0
BRZESKI (BRZESKO),55404.0,87400.0,60228.0,101360.0,921500.0
CHRZANOWSKI,10258.0,70231.0,27840.0,69440.0,658000.0
DĄBROWSKI,44049.0,58125.0,25989.0,69410.0,592800.0
GORLICKI,51427.401264569235,48372.91427197184,38591.903302840954,58710.40960212615,620359.5302256184
JASIELSKI,76229.6658434181,101561.57591297383,81154.9948343867,177883.75914242474,800305.3116089479
KRAKOWSKI,67343.97537107,139165.8113033226,69160.83652080013,403201.43332686985,714462.660587005
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,24481.0,44519.0,32080.0,83370.0,403000.0
MIELECKI,63109.835875868426,144702.97488183828,49487.10427933403,83224.60386783027,834534.0686674973
MYŚLENICKI,47527.75022648633,89644.15457121775,66966.18672906654,525363.9756503885,456575.7972532549
NOWOSĄDECKI,81379.78507295785,100127.3134240254,95751.60253753458,152720.05313968798,751731.4012957864
NOWOTARSKI,15796.716579977741,52838.33520105553,75955.18056832017,426059.93321633304,1328628.1798057933
ROPCZYCKI,63477.3341565819,114108.42408702619,78024.0051656133,147176.24085757526,1167294.6883910522
TARNOWSKI,52497.813662472916,87987.77230400276,33023.494159624475,138289.53725818588,693509.0684785952
WADOWICKI,52483.079988835576,121137.8531596048,54386.48516046558,211730.90786138282,864737.7672032256
ŻYWIECKI,13165.112139800345,65130.195280764456,65756.77289312088,207708.80382469326,620993.4217259617
BIALSKI (BIAŁA PODLASKA),41658.71973865659,418517.1534990567,75174.042377726,211443.3932271921,2105118.297142536
BIŁGORAJSKI,69381.0,167370.0,68090.0,157060.0,978800.0
CHEŁMSKI,283192.0,319060.0,113050.0,187200.0,1666000.0
GARWOLIŃSKI,74250.0,359660.0,91067.0,185900.0,1465500.0
HRUBIESZOWSKI,152373.36673785603,126352.9150814968,68515.23460881035,111613.52954407774,1028152.0717493996
JANOWSKI,101358.0,204620.0,119669.0,284910.0,1879500.0
KRASNOSTAWSKI,227140.0,167640.0,124580.0,222600.0,1364800.0
LUBARTOWSKI,55170.0,366470.0,65168.0,215190.0,1387000.0
LUBELSKI,193005.00392439196,376779.7609062049,186226.00404107152,291772.0848331175,2233631.3383665318
ŁUKOWSKI,36435.0,456070.0,81168.0,367680.0,1820400.0
PUŁAWSKI,76270.0,285804.0,171664.0,215350.0,1866100.0
RADZYŃSKI,83100.68484037362,218126.85152145516,38354.16223401859,222597.5210030425,1495334.3936409429
SIEDLECKI,45172.99652605922,389630.334560758,60020.773750563974,220058.92947157955,1966302.8760120473
SOKOŁOWSKI,85862.0,240970.0,46140.0,124210.0,1195100.0
TOMASZOWSKI,123745.63326214398,136657.0849185032,109218.76539118966,131846.47045592227,998647.9282506004
WĘGROWSKI,38838.0,223814.0,45500.0,122240.0,795700.0
WŁODAWSKI,49246.0,342790.0,59800.0,186630.0,1686700.0
ZAMOJSKI,160375.0,215740.0,96504.0,184020.0,1166100.0
LUBLIN (MIASTO),3444.9960756080413,6725.239093795173,3323.9959589285018,5207.915166882545,39868.66163346847
BÓBRECKI,55898.0,54860.0,48080.0,94250.0,836000.0
BRZOZOWSKI,19734.0,52124.0,42444.0,73730.0,850500.0
DOBROMILSKI,45513.356574438,80741.15348727396,19925.473127729165,112791.49146231136,434723.4531082533
DROHOBYCKI,45030.52386036416,57322.367672366345,43102.61680733358,139110.8476104217,632995.1351895024
GRÓDECKI,40050.22989937372,47343.61058176874,56093.62599464948,87068.98474858658,604811.2069595524
JAROSŁAWSKI,71671.27066682998,907715.5922240228,66308.19224884488,171210.57843112192,924666.3286404805
JAWOROWSKI,30749.069245776078,90272.40214323536,38795.16856373157,100288.53852404423,403151.4111935581
KOLBUSZOWSKI,21220.164124131574,140937.02511816172,35018.895720665976,91755.39613216973,514165.9313325028
KROŚNIEŃSKI,66919.70042618026,103459.06250874494,68688.13183959531,131768.08005362985,990487.2017248755
LESKI,27633.0,40598.0,17512.0,258790.0,394600.0
LWOWSKI,90836.0,95250.0,98923.0,173460.0,1160800.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,63679.53295308896,112667.29414780276,48597.257552432,116690.40954090573,560540.0008827089
MOŚCISKI,45714.0,56660.0,30050.0,82620.0,581000.0
NIŻAŃSKI,32960.0,75600.0,42651.0,79580.0,444900.0
PRZEMYSKI,123860.0,129780.0,41920.0,125940.0,817800.0
PRZEWORSKI,41580.0,82940.0,44060.0,52490.0,316100.0
RAWSKI (RAWA RUSKA),98025.0,84860.0,84048.0,115940.0,632000.0
RUDECKI,35107.685829056194,36833.93593389462,50836.18276590783,87878.22003276231,520847.90763666976
RZESZOWSKI,124833.76662073078,231707.64334345228,121516.61060797269,242171.51040546442,1111572.7973924156
SAMBORSKI,86313.05574671226,130905.65315263916,90983.48012100282,134954.52344954846,736707.9607460314
SANOCKI,45440.0,67300.0,55715.0,211250.0,840800.0
SOKALSKI,121599.95625375069,54298.85061470085,49420.516034355525,47807.678887384216,1032813.1211531109
TARNOBRZESKI,26815.0,76004.0,44608.0,39680.0,504700.0
ŻÓŁKIEWSKI,50398.54684875332,61378.498972808564,34999.119874325464,64165.05310293002,782835.9402887871
LUBACZOWSKI,58815.74435896404,117875.45911707847,50550.83042686623,117433.678263485,699423.1455697394
TURCZAŃSKI,34144.06381848556,51711.82568772053,19327.42994393443,196993.13747771844,389673.4509562128
BRZEZIŃSKI,31800.0,260600.0,37962.0,142860.0,1148400.0
KALISKI,92500.0,280492.0,91920.0,218250.0,1496000.0
KOLSKI,87980.0,452162.0,77900.0,197820.0,1465100.0
KONIŃSKI,86417.0,613491.0,121212.0,285860.0,2989100.0
ŁASKI,54558.0,293896.0,75620.0,205580.0,1978600.0
ŁĘCZYCKI,113930.0,359096.0,49100.0,209530.0,1390800.0
ŁÓDZKI,31696.0,202000.0,34320.0,121860.0,1003100.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,58968.0,451520.0,116104.0,243090.0,2165200.0
RADOMSZCZAŃSKI,77170.0,435810.0,91618.0,168160.0,2224400.0
SIERADZKI,82742.0,454499.0,58420.0,245970.0,2544900.0
TURECKI,85040.0,300520.0,57714.0,205930.0,1596600.0
WIELUŃSKI,23110.0,456740.0,77570.0,307180.0,1785000.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,10215.01938591561,73582.01991512928,41136.21207844275,37238.99417622418,330773.9214496063
BRASŁAWSKI,3287.0,85934.0,58650.0,65150.0,443600.0
LIDZKI,4996.55959241165,408530.67911025457,66501.21646632953,165613.41114484996,1040667.8912669888
NIEŚWIESKI,6570.0,136580.0,24770.0,53380.0,723900.0
NOWOGRÓDZKI,17640.690810305514,202040.61117979226,46090.5104555109,82838.62931890645,804925.747206828
SŁONIMSKI,12524.0,212100.0,39700.0,64400.0,669200.0
STOŁPECKI,9987.873050525643,262248.5204367981,57656.295623247315,117201.09119983984,995513.2774940854
WOŁOŻYŃSKI,6232.416753253232,389521.84846828034,115444.98184279902,189441.28530502954,1102387.0538494803
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),5083.60276989515,238380.39419489878,37972.54847309416,88242.67964189967,626689.36158342
BRZESKI (BRZEŚĆ N.BUG.),19937.598894910578,420990.6604187301,34991.02163769144,157250.15629818587,1145244.433204474
DROHICKI,5380.0,108634.0,9780.0,52690.0,303000.0
KOBRYŃSKI,5879.0,175602.0,11800.0,50030.0,628800.0
KOSZYRSKI,4970.0,30785.0,8350.0,20800.0,177700.0
ŁUNINIECKI,3141.0,174438.0,21280.0,51000.0,431400.0
PIŃSKI,3299.0,185722.0,24080.0,64020.0,630800.0
PRUŻAŃSKI,7400.0,175237.0,18300.0,45610.0,404600.0
STOLIŃSKI,2974.0,77790.0,10550.0,24340.0,99500.0
IWACEWICKI,5716.0,217049.0,32290.0,70840.0,869900.0
BRODNICKI,21288.127551879286,315063.5722904086,56708.477685765145,93117.16667785647,1324457.9484729727
CHEŁMIŃSKI,68449.32700561579,174382.18353262614,86338.55172889674,67198.57352256271,616706.6238070386
CHOJNICKI,13018.183715696547,261698.8591078644,19490.054792303683,72249.32661124722,988797.1785048037
DZIAŁDOWSKI,1895.0,91329.0,13519.0,23060.0,489000.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,52683.157718829585,159724.68797845452,72723.11072926104,74161.52532522463,733200.038609194
KARTUSKI,8704.225014351045,158745.8932403922,13926.804745890313,117014.72443028935,1098449.2259009196
KOŚCIERSKI,10400.812540276147,266862.4009367021,14879.401030804625,85050.39641948162,1251213.3791033933
LUBAWSKI,15362.212880513116,882535.5918856929,67001.92159393276,74303.5362213186,1141261.581035743
SĘPOLEŃSKI,3703.0,164900.0,33486.0,64600.0,596600.0
STAROGARDZKI,34152.713307990234,222034.64557594468,44602.81990183507,77827.31288501111,1020101.8785897294
ŚWIECKI,30215.72960624698,272075.726774948,56761.28883044018,64735.77598303192,1425520.1294989889
TCZEWSKI,54400.71804636002,124367.86740952902,63955.222715291355,98958.48668366585,537441.2152090711
TORUŃ (MIASTO),387.7136425950843,1674.1070393849589,717.4744454506966,416.6280642409749,7231.317833765879
TORUŃSKI,50724.80111934473,214566.4776705323,92390.50099003088,54262.08896608591,921738.3224611545
TUCHOLSKI,10983.568651984535,484628.715673753,33530.942414204634,48795.271880284956,795079.0981908644
WĄBRZESKI,35747.16967166425,192176.9348080251,58794.27811505489,53237.05974544703,708069.8430947324
MORSKI,11284.223190407145,155519.78557393668,19302.39976186602,96714.08187087091,1140312.2402437858
GDYNIA (MIASTO),184.31633624550952,3400.550501805441,357.75051897196994,1888.0447133807534,26419.979443842614
BYDGOSKI,36523.071052506464,288887.0488826897,64454.23850705868,71246.76967748687,936691.0458368742
BYDGOSZCZ (MIASTO),93.92894749353219,742.9511173103128,165.76149294131278,183.23032251312242,2408.9541631257634
CHODZIESKI,8480.0,240830.0,42685.0,57490.0,979800.0
CZARNKOWSKI,8097.467995805822,151054.25788393588,20760.427809891105,34309.21190463448,1108596.8149154214
GNIEŹNIEŃSKI,42044.05567478846,446840.86105040205,124417.49034429857,131430.94658858064,2386614.1033308627
GOSTYŃSKI,93151.36442854362,207092.65339767202,81499.89605423194,151366.59382442036,1288299.1905185692
INOWROCŁAWSKI,115639.434034473,354202.58233392116,159156.9678857031,81438.17375700097,898652.0268054277
JAROCIŃSKI,78397.32389612924,412472.3713539989,85730.81709217583,199995.80977033064,1655279.0248456034
KĘPIŃSKI,25092.494566715854,324986.1638260613,36179.60642826676,212196.90583969434,1433700.4803301124
KOŚCIAŃSKI,58555.195081596976,380948.50701352116,125393.1938799136,132449.5730575571,1507494.6439376362
KROTOSZYŃSKI,124466.77415269382,240933.24191863666,81315.7542205278,225024.16330378456,1032957.7956690849
LESZCZYŃSKI,39175.69612483674,305954.8815792456,53837.03128407942,144640.17778064054,909496.105996418
MIĘDZYCHODZKI,7320.0,151200.0,19580.0,424401.0,564300.0
MOGILEŃSKI,94216.43105398177,450388.104379405,196432.54853607243,137068.04604628152,1340093.1313851606
NOWOTOMYSKI,36995.56345566436,390612.25654950144,59775.07288011998,103005.76796441678,1839533.344468325
OBORNICKI,25616.15973748737,325608.3692572043,63380.610633386466,108959.7518491647,1323958.222127183
OSTROWSKI (OSTRÓW WIELKOPOLSKI),41896.69899963392,324957.98745078297,40764.86870480501,161264.4240047243,1367099.1995658907
POZNAŃ (MIASTO),0.0,0.0,0.0,0.0,0.0
RAWICKI,52188.889622086564,164673.30222519988,51113.43208229654,98369.41846070215,511968.08230691374
SZAMOTULSKI,49855.0,328090.0,101060.0,123720.0,1241900.0
SZUBIŃSKI,31485.0,252722.0,65557.0,63960.0,1039200.0
