District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki Cukrowe
AUGUSTOWSKI,20051.0,165032.0,38275.0,136011.0,734875.0,0.0
BIAŁOSTOCKI,30222.0,293161.0,48971.0,97538.0,1624136.0,0.0
BIELSKI (BIELSK PODLASKI),56018.0,472296.0,52042.0,139111.0,1243657.0,0.0
GRODZIEŃSKI,31388.303104589486,418165.22323911224,97190.61271073706,123459.85326322021,1890139.715308146,0.0
ŁOMŻYŃSKI,73501.96368380255,522636.24966614204,53057.19406923068,184075.29920628772,2024862.0144213743,0.0
OSTROŁĘCKI,43764.03631619746,343001.75033385796,39448.80593076932,101860.70079371228,1429913.985578626,33860.0
OSTROWSKI (OSTRÓW MAZOWIECKA),33095.0,252185.0,20973.0,45435.0,789520.0,41285.0
SOKÓLSKI,13158.0,394514.0,42901.0,150015.0,1468990.0,0.0
SUWALSKI,17302.0,223648.0,40419.0,252489.0,997951.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),37010.0,201482.0,32658.0,110888.0,1073092.0,0.0
WOŁKOWYSKI,34879.0,495625.0,112602.0,151406.0,3560204.0,0.0
WYSOKOMAZOWIECKI,65564.0,301236.0,33984.0,106374.0,1015784.0,29025.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,4357.0,129460.0,14717.0,20045.0,615875.0,0.0
CZĘSTOCHOWSKI,12854.0,434815.0,25174.0,73392.0,2155519.0,10998.0
IŁŻECKI,58209.0,411036.0,180919.0,304503.0,2173904.0,44764.0
JĘDRZEJOWSKI,126989.50043220061,222130.12231866826,90178.35162152021,101777.9496721291,1136793.7940411423,2902.895939810731
KIELECKI,42029.0,300461.0,72968.0,75191.0,2692098.0,0.0
KONECKI,9126.0,246916.0,24345.0,44442.0,1718723.0,0.0
KOZIENICKI,32216.0,335983.0,110645.0,150836.0,1189162.0,152532.0
MIECHOWSKI,273552.4995677994,296669.8776813317,193454.6483784798,210342.0503278709,1626344.2059588577,361527.1040601893
OLKUSKI,59278.0,252635.0,90152.0,104370.0,1356164.0,0.0
OPATOWSKI,167194.0,333247.0,192995.0,377754.0,2113207.0,317660.0
OPOCZYŃSKI,22891.0,473937.0,50592.0,145833.0,1970690.0,0.0
PIŃCZOWSKI,173842.0,285219.0,162087.0,135862.0,1130471.0,646502.0
RADOMSKI,29366.070336198816,522959.3223735121,113390.04490000552,179965.8306020698,2424444.9310740265,5824.283769985145
SANDOMIERSKI,133566.0,210204.0,135495.0,162932.0,1678646.0,281528.0
STOPNICKI,104533.0,294466.0,102363.0,135856.0,1715073.0,82698.0
