District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Orthodox,% Orthodox,Evangelical,% Evangelical,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
AUGUSTOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAŁOSTOCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRODZIEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁOMŻYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROŁĘCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOKÓLSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUWALSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOŁKOWYSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZĘSTOCHOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IŁŻECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JĘDRZEJOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIELECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KONECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOZIENICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIECHOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLKUSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPATOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPOCZYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIŃCZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOMSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDOMIERSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOPNICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WŁOSZCZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAWIERCIAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),126431.0,0.908745247,173.0,0.001243468,24.0,0.000172504,2243.0,0.016121961,9951.0,0.071524578,48.0,0.000345009,257.0,0.001847233
BOCHEŃSKI,107399.0,0.943835135,100.0,0.000878812,34.0,0.000298796,232.0,0.002038843,5656.0,0.049705598,69.0,0.00060638,300.0,0.002636436
BRZESKI (BRZESKO),97730.0,0.956019017,57.0,0.000557588,9.0,8.80402e-05,5.0,4.89112e-05,4121.0,0.040312641,8.0,7.8258e-05,296.0,0.002895545
CHRZANOWSKI,125016.0,0.905512781,186.0,0.001347231,54.0,0.000391131,230.0,0.00166593,12127.0,0.087837985,40.0,0.000289727,408.0,0.002955215
DĄBROWSKI,61584.0,0.923602987,34.0,0.000509913,2.0,2.99949e-05,16.0,0.000239959,4807.0,0.072092744,1.0,1.49975e-05,234.0,0.003509403
GORLICKI,73788.0,0.704050379,20134.0,0.192109155,4958.0,0.047306903,26.0,0.00024808,5578.0,0.053222652,38.0,0.000362578,283.0,0.002700253
JASIELSKI,102213.0,0.880038917,4991.0,0.042971777,2668.0,0.022971088,20.0,0.000172197,5786.0,0.04981661,26.0,0.000223856,442.0,0.003805555
KRAKOWSKI,181836.0,0.969745452,237.0,0.001263939,72.0,0.000383982,372.0,0.001983905,4138.0,0.022068274,150.0,0.000799962,704.0,0.003754486
KRAKÓW (MIASTO),159372.0,0.0,1554.0,0.0,340.0,0.0,580.0,0.0,56515.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,84048.0,0.962980786,32.0,0.00036664,11.0,0.000126033,9.0,0.000103118,2766.0,0.031691472,10.0,0.000114575,403.0,0.004617376
MIELECKI,69737.0,0.900238818,67.0,0.000864907,5.0,6.45453e-05,685.0,0.008842703,6457.0,0.083353773,6.0,7.74543e-05,508.0,0.0065578
MYŚLENICKI,99978.0,0.973571456,29.0,0.000282398,3.0,2.92136e-05,9.0,8.76407e-05,2189.0,0.021316169,16.0,0.000155806,468.0,0.004557317
NOWOSĄDECKI,141857.0,0.771519631,21413.0,0.11645918,3647.0,0.019834989,1371.0,0.007456477,15135.0,0.082314934,13.0,7.07033e-05,431.0,0.002344086
NOWOTARSKI,121767.0,0.940365591,2234.0,0.017252431,62.0,0.000478805,138.0,0.001065728,4853.0,0.037478087,16.0,0.000123563,419.0,0.003235796
ROPCZYCKI,104033.0,0.937867929,113.0,0.001018706,23.0,0.000207347,20.0,0.000180302,6410.0,0.057786793,2.0,1.80302e-05,324.0,0.002920892
TARNOWSKI,120610.0,0.847188565,234.0,0.001643662,59.0,0.000414428,70.0,0.000491694,21219.0,0.149046465,16.0,0.000112387,157.0,0.001102799
WADOWICKI,140469.0,0.967797276,101.0,0.000695865,24.0,0.000165354,95.0,0.000654527,3665.0,0.025250959,15.0,0.000103346,774.0,0.005332672
ŻYWIECKI,127685.0,0.975074266,61.0,0.00046583,10.0,7.63656e-05,268.0,0.002046598,2245.0,0.017144079,61.0,0.00046583,619.0,0.004727031
BIALSKI (BIAŁA PODLASKA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIŁGORAJSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEŁMSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARWOLIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRUBIESZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JANOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRASNOSTAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBARTOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBELSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁUKOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUŁAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADZYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIEDLECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOKOŁOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOMASZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WĘGROWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WŁODAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAMOJSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,22820.0,0.234957374,66077.0,0.680336477,36.0,0.00037066,131.0,0.001348791,7972.0,0.082080639,8.0,8.23689e-05,80.0,0.000823689
BRZOZOWSKI,65813.0,0.7909741,12711.0,0.152767262,32.0,0.000384592,0.0,0.0,4316.0,0.051871883,43.0,0.000516796,290.0,0.003485367
