District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe
AUGUSTOWSKI,25975.0,136196.0,26006.0,101049.0,878666.0,0.0
BIAŁOSTOCKI,47616.0,402717.0,59530.0,166421.0,1583740.0,0.0
BIELSKI (BIELSK PODLASKI),131348.0,606260.0,72176.0,175789.0,2522992.0,0.0
GRODZIEŃSKI,66476.0,559266.0,108674.0,253492.0,2489236.0,0.0
ŁOMŻYŃSKI,118732.0,627236.0,46630.0,210957.0,3057057.0,0.0
OSTROŁĘCKI,40193.0,361195.0,18520.0,74708.0,1482651.0,7224.0
OSTROWSKI (OSTRÓW MAZOWIECKA),56243.0,280872.0,25347.0,83399.0,1296831.0,22137.0
SOKÓLSKI,13774.0,362576.0,38139.0,156969.0,1273664.0,0.0
SUWALSKI,32360.0,238101.0,49514.0,240678.0,540649.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),38561.0,199354.0,25674.0,86614.0,1259745.0,0.0
WOŁKOWYSKI,53035.0,577886.0,89076.0,225863.0,2426013.0,0.0
WYSOKOMAZOWIECKI,80207.0,270072.0,34272.0,101844.0,1196585.0,4738.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,5521.0,104645.0,11854.0,17054.0,623295.0,0.0
CZĘSTOCHOWSKI,29753.0,586786.0,34394.0,111356.0,2589645.0,9855.0
IŁŻECKI,60769.0,405357.0,151522.0,245221.0,2132195.0,7727.0
JĘDRZEJOWSKI,188551.0,320718.0,108145.0,111863.0,2083818.0,1519.0
KIELECKI,61469.0,362818.0,56581.0,104564.0,2180162.0,0.0
KONECKI,15501.0,321553.0,26238.0,65306.0,2349424.0,0.0
KOZIENICKI,49051.0,430667.0,99753.0,176861.0,1949800.0,23371.0
MIECHOWSKI,303996.0,346435.0,159150.0,243183.0,1977616.0,121367.0
OLKUSKI,72938.0,341942.0,69725.0,124608.0,1805648.0,0.0
OPATOWSKI,193786.0,353811.0,157651.0,272153.0,2572823.0,297640.0
OPOCZYŃSKI,38072.0,522037.0,50266.0,144482.0,2664152.0,0.0
