District,Konie,Bydło rogate,Trzoda chlewna,Owce,Kozy
AUGUSTOWSKI,15183.0,32143.0,37190.0,20014.0,33.0
BIAŁOSTOCKI,30003.0,63777.0,59381.0,22747.0,46.0
BIELSKI (BIELSK PODLASKI),44815.0,87843.0,83776.0,79285.0,338.0
GRODZIEŃSKI,39549.0,71491.0,59236.0,64958.0,177.0
ŁOMŻYŃSKI,34779.0,72377.0,65589.0,12671.0,76.0
OSTROŁĘCKI,20734.0,54753.0,36317.0,9929.0,100.0
OSTROWSKI (OSTRÓW MAZOWIECKA),14586.0,36346.0,37224.0,7095.0,75.0
SOKÓLSKI,27502.0,52486.0,47402.0,48284.0,7.0
SUWALSKI,23405.0,42057.0,53049.0,30280.0,44.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),15959.0,29904.0,25342.0,6765.0,33.0
WOŁKOWYSKI,32331.0,75524.0,63894.0,81649.0,202.0
WYSOKOMAZOWIECKI,18804.0,43369.0,37140.0,6721.0,35.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,4493.0,11543.0,3151.0,294.0,8002.0
CZĘSTOCHOWSKI,14696.0,48179.0,21340.0,6021.0,2722.0
IŁŻECKI,18021.0,55471.0,41604.0,2092.0,572.0
JĘDRZEJOWSKI,16404.0,41782.0,21355.0,3043.0,493.0
KIELECKI,14486.0,57906.0,19348.0,6477.0,386.0
KONECKI,10991.0,46090.0,17912.0,5386.0,425.0
KOZIENICKI,18353.0,48017.0,47720.0,2497.0,379.0
MIECHOWSKI,23528.0,59199.0,29418.0,2027.0,2400.0
OLKUSKI,11958.0,44391.0,16086.0,4870.0,4117.0
OPATOWSKI,19303.0,60661.0,39165.0,1440.0,776.0
OPOCZYŃSKI,14569.0,43651.0,28873.0,24573.0,303.0
PIŃCZOWSKI,21484.0,49398.0,21736.0,2321.0,1353.0
RADOMSKI,22390.0,64494.0,47856.0,4082.0,254.0
SANDOMIERSKI,16141.0,47959.0,30423.0,1807.0,483.0
STOPNICKI,21811.0,65799.0,29597.0,828.0,312.0
WŁOSZCZOWSKI,15015.0,39264.0,21557.0,3330.0,533.0
ZAWIERCIAŃSKI,6620.0,27111.0,4613.0,3789.0,2932.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0
