District,Pszenica (za q = 100kg),Żyto (za q = 100kg),Jęczmień (za q = 100kg),Owies (za q = 100kg),Gryka (za q = 100kg),Ziemniaki jadalne (za q = 100kg),Ziemniaki fabryczne (za q = 100kg),Siano (za q = 100kg),Słoma (za q = 100kg),Koń roboczy (cena minimalna),Koń roboczy (cena maksymalna),Krowa dojna (cena minimalna),Krowa dojna (cena maksymalna),Wieprz (kg)
AUGUSTOWSKI,39.2,27.0,25.33,29.33,30.0,7.67,6.0,6.6,3.3,325.0,383.0,160.0,277.0,1.32
BIAŁOSTOCKI,44.362083992241665,26.025755942115108,29.57472266149444,32.532194927643886,29.57472266149444,6.90076862101537,0.0,6.703603803272073,5.1262852613257035,197.16481774329628,443.6208399224166,164.63262281565238,361.79744055894867,1.7941998414639961
BIELSKI (BIELSK PODLASKI),42.67,24.38,28.0,32.25,30.0,6.25,0.0,4.7,3.0,188.0,450.0,188.0,408.0,1.64
GRODZIEŃSKI,39.44104305172896,24.04760272798087,23.91746494746609,31.725731778352806,25.795167209179322,5.447195670118589,0.0,4.861575657802085,3.7647000791775227,194.2771151970623,367.17445216669665,167.320003519001,297.4577840337796,1.8033378157047886
ŁOMŻYŃSKI,71.34187471445185,39.1463728610262,39.29832433442427,41.990299199440635,15.997905418030339,11.596758602607448,6.0,10.789348233790808,5.618644792747828,292.3674988578074,492.71590189802805,356.91104923783496,542.715901898028,2.821318207209975
OSTROŁĘCKI,61.75812528554815,34.8436271389738,34.95167566557573,36.63970080055937,39.70209458196966,9.603241397392553,4.25,8.480651766209194,5.101355207252172,283.6325011421926,528.284098101972,280.08895076216504,507.28409810197195,2.3986817927900255
OSTROWSKI (OSTRÓW MAZOWIECKA),41.75,25.0,25.5,25.67,26.0,6.5,4.0,5.75,3.25,213.0,350.0,195.0,313.0,1.67
SOKÓLSKI,44.25,25.71,26.33,31.17,26.0,7.7,5.4,5.9,4.72,186.0,400.0,150.0,297.0,1.73
SUWALSKI,39.25,25.0,23.0,24.67,30.0,9.67,0.0,8.25,4.0,175.0,493.0,160.0,330.0,1.58
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),46.0,24.5,24.5,24.5,0.0,6.0,0.0,3.6,3.0,200.0,275.0,240.0,275.0,1.78
WOŁKOWYSKI,37.5,26.48,25.89,31.1,26.4,6.3,6.0,6.95,4.42,208.0,446.0,144.0,288.0,1.84
WYSOKOMAZOWIECKI,39.82,24.36,24.43,28.25,28.0,7.39,5.0,6.19,3.54,230.0,435.0,218.0,390.0,1.94
BIAŁYSTOK (MIASTO),0.6379160077583375,0.37424405788489123,0.42527733850555827,0.46780507235611407,0.42527733850555827,0.09923137898463026,0.0,0.09639619672792654,0.07371473867429677,2.835182256703722,6.379160077583374,2.3673771843476077,5.20255944105133,0.02580015853600387
BĘDZIŃSKI,34.48748472370428,24.26792802598619,24.662070708542814,28.89441237123414,0.0,8.164384138672848,4.692174792340717,6.465816863845508,4.851708735280302,166.10298764886141,381.00459313806624,223.34752011541815,445.7566052723682,2.3460873961703586
CZĘSTOCHOWSKI,36.939517040263276,25.909305146415207,24.535400661404097,26.42573732872435,36.54001289923168,7.424930621123877,5.524849950363829,6.04128213267297,3.8976013759180455,156.87845538070133,349.8097234886446,226.06087980324665,385.8625362158865,2.1729127670743105
IŁŻECKI,42.0,25.0,25.0,29.6,29.33,8.0,0.0,7.0,3.5,176.0,310.0,234.0,410.0,2.19
JĘDRZEJOWSKI,39.43172973412989,27.036504436089388,24.890971557120505,28.608299889762232,0.0,6.339459848517272,3.8004221148066897,5.62121867270253,3.598357461091914,301.720565055015,420.5526482154477,269.3896736875208,448.01465179503504,1.9963294368647257
KIELECKI,32.0,24.5,25.5,26.0,0.0,9.0,0.0,10.0,5.0,250.0,500.0,225.0,450.0,2.25
KONECKI,38.63,24.5,24.29,25.38,35.0,7.78,0.0,8.5,4.96,175.0,361.0,191.0,350.0,2.14
KOZIENICKI,38.4,23.4,22.8,25.67,0.0,7.6,0.0,8.0,4.0,220.0,360.0,225.0,350.0,1.91
MIECHOWSKI,40.06827026587011,26.963495563910612,25.029028442879497,25.941700110237765,0.0,8.650540151482728,6.27957788519331,6.37878132729747,3.5316425389080863,214.279434944985,442.4473517845524,297.6103263124792,499.985348204965,2.0336705631352743
OLKUSKI,39.83,27.0,25.72,25.13,0.0,8.89,0.0,7.33,5.21,150.0,363.0,244.0,444.0,2.22
OPATOWSKI,38.5,24.85,23.06,24.5,25.33,4.8,0.0,7.13,5.75,231.0,400.0,275.0,431.0,2.08
OPOCZYŃSKI,37.15,23.85,23.0,22.88,26.67,7.23,0.0,5.98,3.8,170.0,358.0,236.0,382.0,2.07
PIŃCZOWSKI,38.82,27.71,25.39,26.97,0.0,7.69,3.33,6.3,3.56,154.0,355.0,249.0,463.0,1.99
RADOMSKI,38.89761332156407,25.6489461415335,23.537840574499587,25.510836431540625,29.594937855615576,8.178067827435104,6.658861017513504,5.258033959014368,3.334362998399355,249.58397591569135,415.3156279071386,262.4084489864581,437.01858233459,1.9828608363262434
SANDOMIERSKI,40.0,25.43,24.8,23.5,0.0,4.33,0.0,5.92,3.33,133.0,286.0,221.0,343.0,1.95
STOPNICKI,38.17,28.17,24.83,25.67,0.0,5.33,0.0,12.0,9.0,200.0,500.0,200.0,450.0,1.75
WŁOSZCZOWSKI,39.6,25.4,24.8,26.33,0.0,7.44,3.5,5.0,2.8,237.0,422.0,238.0,411.0,1.91
ZAWIERCIAŃSKI,36.75,25.86,26.28,30.79,0.0,8.7,0.0,6.89,5.17,177.0,406.0,238.0,475.0,2.5
