District,Pszenica (za q = 100kg),Żyto (za q = 100kg),Jęczmień browarniany (za q = 100kg),Jęczmień innych gatunków (za q = 100kg),Owies (za q = 100kg),Gryka (za q = 100kg),Groch (za q = 100kg),Ziemniaki jadalne (za q = 100kg),Ziemniaki fabryczne (za q = 100kg),Siano koniczyny (za q = 100kg),Siano łąkowe (za q = 100kg),Słoma (za q = 100kg)
AUGUSTOWSKI,36.5,16.5,19.0,17.67,16.75,21.0,20.0,4.43,3.0,7.8,5.55,3.45
BIAŁOSTOCKI,34.38,16.3,19.0,16.11,17.89,20.0,20.3,6.11,5.0,9.64,7.03,3.94
BIELSKI (BIELSK PODLASKI),29.75,15.0,20.5,18.43,17.88,16.0,16.5,6.43,5.0,9.07,5.89,3.09
GRODZIEŃSKI,29.23714525544792,14.21050081381377,16.5341097306671,16.39968607432021,16.630126628057734,19.08815920125795,21.68061543080506,4.839251628487932,2.7652866448502467,8.43988528063669,6.231496640652119,3.6198370316268855
ŁOMŻYŃSKI,49.09406775449189,24.695450178591862,24.912436739417377,28.092627697593244,26.935557353488946,29.245073153837325,32.03102114050471,7.765291328860998,6.518942925820777,13.393046613987178,11.094467104497035,5.9710015741159275
OSTROŁĘCKI,45.105932245508114,21.254549821408137,24.75756326058263,23.28737230240676,23.854442646511053,32.864926846162675,35.03897885949529,6.794708671139003,4.811057074179223,12.696953386012826,10.025532895502964,5.188998425884073
OSTROWSKI (OSTRÓW MAZOWIECKA),31.78,15.33,16.67,18.67,21.0,23.8,20.67,5.22,0.0,7.0,6.33,4.25
SOKÓLSKI,32.0,15.13,19.0,17.4,17.83,18.75,22.17,4.82,3.9,7.54,4.36,4.04
SUWALSKI,31.11,14.6,17.8,17.33,16.86,29.0,17.8,4.89,3.5,4.94,4.15,3.22
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),32.07,16.57,19.17,17.0,17.21,24.75,21.75,4.45,3.67,8.0,5.87,3.44
WOŁKOWYSKI,30.9,14.95,19.09,17.77,20.8,20.55,21.4,4.8,4.0,8.61,6.27,4.09
WYSOKOMAZOWIECKI,30.94,14.89,17.5,17.1,17.21,24.0,20.0,5.47,0.0,9.67,7.28,4.02
BIAŁYSTOK (MIASTO),34.38,16.3,19.0,16.11,17.89,0.0,0.0,6.11,0.0,9.64,7.03,3.94
BĘDZIŃSKI,37.0,17.4,20.0,20.0,20.0,0.0,0.0,8.67,0.0,12.67,8.0,6.25
CZĘSTOCHOWSKI,32.18,15.85,17.71,17.0,19.11,0.0,0.0,6.84,5.0,8.86,7.31,3.94
IŁŻECKI,30.19,13.81,16.14,15.45,15.4,22.0,30.2,6.46,0.0,8.75,7.0,4.57
JĘDRZEJOWSKI,31.29613638981465,15.982228610709486,18.454372920213846,17.348043483349123,18.398797014942964,0.0,30.8,6.7516902106256245,5.2,7.991806495902797,6.349423219029685,4.073296120046123
KIELECKI,32.69,16.06,17.5,16.08,18.5,0.0,32.5,8.11,6.0,11.31,9.14,5.33
KONECKI,35.07,16.53,17.14,19.2,18.93,0.0,0.0,6.6,4.67,12.64,8.9,5.42
KOZIENICKI,31.42,12.92,15.43,15.0,17.45,27.33,32.0,6.64,3.25,11.5,7.8,4.86
MIECHOWSKI,30.653863610185354,16.467771389290515,19.225627079786154,17.19195651665088,18.531202985057035,0.0,0.0,8.928309789374374,0.0,10.188193504097203,7.400576780970315,4.1467038799538765
OLKUSKI,31.75,16.0,20.13,18.2,18.72,0.0,42.14,9.0,6.25,10.13,7.55,5.19
OPATOWSKI,29.75,15.55,17.78,14.75,15.21,0.0,34.43,7.17,0.0,8.43,7.07,3.91
OPOCZYŃSKI,32.0,15.4,17.14,16.83,19.74,27.25,30.71,7.0,0.0,10.1,7.5,4.21
PIŃCZOWSKI,29.85,16.3,17.0,16.79,17.0,0.0,39.0,7.88,0.0,8.18,7.18,4.25
RADOMSKI,30.038861923449808,15.044093409937918,19.187384709724096,17.36236354196114,17.4807432933836,21.456329945321293,27.29639768216277,7.319814629622252,4.113696361930565,10.54566285588435,8.661451812410158,4.439240678342337
SANDOMIERSKI,30.75,15.83,18.25,16.43,16.11,0.0,33.75,8.09,5.5,10.0,8.33,5.29
STOPNICKI,31.45,15.8,18.0,16.25,20.0,0.0,40.0,6.98,0.0,8.17,7.71,4.14
WŁOSZCZOWSKI,30.94,15.11,17.5,17.0,19.88,0.0,0.0,6.53,5.33,8.67,7.27,4.23
ZAWIERCIAŃSKI,34.0,16.59,17.75,16.57,19.83,0.0,0.0,9.94,0.0,13.15,9.94,6.15
CZĘSTOCHOWA (MIASTO),32.18,15.85,17.71,17.0,19.11,0.0,0.0,6.84,0.0,8.86,7.31,3.94
SOSNOWIEC,37.0,17.4,20.0,20.0,20.0,0.0,0.0,8.67,0.0,12.67,8.0,6.25
RADOM (MIASTO),0.4111380765501895,0.20590659006208178,0.262615290275901,0.2376364580388616,0.23925670661639925,0.29367005467870677,0.37360231783723297,0.10018537037774733,0.056303638069434815,0.14433714411564944,0.11854818758984118,0.06075932165766347
BIALSKI (BIAŁA KRAKOWSKA),51.84663622840088,29.275171993811867,32.162914971219834,31.99585314997693,35.5926377157112,0.0,68.43789813382377,16.198626462739156,6.67,21.683078321863057,16.23378420091702,10.013733239787577
BOCHEŃSKI,33.55,17.36,20.0,19.13,19.6,0.0,45.0,8.56,0.0,13.36,9.82,4.82
