District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
AUGUSTOWSKI,20.5,18.5,19.0,17.33,20.0,0.0,0.0,6.0,0.0,7.2,6.0,3.0
BIAŁOSTOCKI,22.28,17.35,20.0,17.91,17.6,23.0,21.22,6.45,3.6,7.19,5.5,3.85
BIELSKI (BIELSK PODLASKI),20.2,16.2,17.33,16.23,18.39,21.0,17.18,5.51,4.0,8.47,5.9,3.3
GRODZIEŃSKI,20.83,17.47,16.4,16.36,16.35,19.0,22.0,7.67,0.0,8.0,6.2,4.69
ŁOMŻYŃSKI,33.79201782302344,25.83133288200156,30.453307747017927,27.992436739417375,27.506046444737763,31.85048526601931,35.38309828882096,8.41068494102188,4.0,13.696549144410481,10.437289585495657,6.228495726211354
OSTROŁĘCKI,30.137982176976557,23.458667117998438,25.796692252982073,24.037563260582623,24.98395355526224,29.319514733980693,30.72690171117904,6.98931505897812,4.0,11.373450855589521,8.592710414504344,4.501504273788647
OSTROWSKI (OSTRÓW MAZOWIECKA),21.5,16.5,20.0,17.0,16.0,20.0,20.0,5.5,3.0,8.5,6.75,4.75
SOKÓLSKI,20.78,16.67,18.0,15.86,18.38,21.0,18.88,7.38,0.0,5.96,5.14,3.81
SUWALSKI,21.25,17.45,19.0,17.33,14.5,21.0,18.5,6.7,5.5,5.47,4.61,3.92
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),20.27,16.45,18.0,17.38,15.0,21.0,22.83,5.6,4.0,6.83,5.36,3.9
WOŁKOWYSKI,20.16,16.25,16.8,15.67,18.32,20.67,20.5,5.99,4.8,7.82,5.79,3.81
WYSOKOMAZOWIECKI,22.27,17.87,20.67,18.67,18.42,18.0,23.33,5.85,0.0,7.19,6.29,3.84
BIAŁYSTOK (MIASTO),22.28,17.35,20.0,17.91,17.6,0.0,0.0,6.45,0.0,7.19,5.5,3.85
BĘDZIŃSKI,25.0,20.11,20.0,20.0,22.14,23.0,21.0,9.63,0.0,14.6,11.0,8.57
CZĘSTOCHOWSKI,23.8,20.63,21.0,19.9,20.44,0.0,0.0,5.72,0.0,10.64,8.27,4.76
IŁŻECKI,20.2,15.93,16.57,15.3,15.07,17.83,24.86,8.1,4.75,13.4,11.0,4.2
JĘDRZEJOWSKI,21.76727715812646,19.198956326522133,18.491302973907654,17.57338042125125,19.46214255810549,24.0,24.72303621083528,6.923608346390051,4.9198278947920135,8.920807600125793,7.237707421146424,4.321065757937771
KIELECKI,23.67,19.86,20.0,17.7,18.75,0.0,23.0,9.29,0.0,12.3,10.27,6.95
KONECKI,24.92,18.69,20.0,18.91,20.73,25.0,0.0,5.75,5.0,13.2,10.0,4.61
KOZIENICKI,20.22,16.89,19.0,17.14,17.67,23.0,0.0,7.5,0.0,10.5,7.5,4.6
MIECHOWSKI,20.83272284187354,18.551043673477867,20.088697026092344,17.85661957874875,18.94785744189451,0.0,27.77696378916472,6.67639165360995,4.960172105207986,11.309192399874208,8.432292578853577,3.8689342420622292
OLKUSKI,22.42,18.84,20.67,19.5,21.18,0.0,0.0,7.71,5.0,12.36,9.0,6.06
OPATOWSKI,20.22,17.76,19.5,16.15,16.13,20.2,25.67,6.44,0.0,11.0,8.88,4.29
OPOCZYŃSKI,22.9,18.89,18.8,18.09,18.31,24.2,29.5,5.81,3.0,10.25,7.88,4.58
PIŃCZOWSKI,20.05,17.5,18.6,16.32,17.39,0.0,26.25,7.0,0.0,8.77,7.15,4.03
RADOMSKI,20.775646374642132,17.372228521246342,19.33535939900218,17.036819225549365,18.950625206879174,20.716456498930903,25.81665078938199,6.501021348950221,4.932489642602596,10.48647298017312,7.566439111752382,4.498430554053567
SANDOMIERSKI,19.69,17.67,17.83,15.89,14.0,0.0,23.67,5.61,4.25,9.14,7.86,4.83
STOPNICKI,21.54,18.77,20.33,17.11,17.1,0.0,0.0,6.68,4.0,9.5,8.6,5.67
WŁOSZCZOWSKI,22.82,19.0,20.67,18.46,20.81,21.5,0.0,5.67,0.0,11.09,7.45,4.79
ZAWIERCIAŃSKI,27.17,20.5,23.14,20.93,22.11,0.0,0.0,8.64,5.0,14.0,10.67,7.08
CZĘSTOCHOWA (MIASTO),23.8,20.63,21.0,19.9,20.44,0.0,0.0,5.72,0.0,10.64,8.27,4.76
SOSNOWIEC,25.0,20.11,20.0,20.0,22.14,0.0,0.0,9.63,0.0,14.6,11.0,8.57
RADOM (MIASTO),0.284353625357865,0.2377714787536564,0.26464060099782316,0.23318077445063293,0.2593747931208256,0.2835435010690962,0.35334921061801183,0.08897865104977828,0.06751035739740385,0.14352701982688063,0.10356088824761751,0.061569445946432315
BIALSKI (BIAŁA KRAKOWSKA),39.885021383451004,33.56550021044995,35.746534306141996,32.763949066911884,35.669913848726765,0.0,0.0,13.757869622555756,7.610340956920443,23.179698779278286,16.86113601795093,11.47447733968862
BOCHEŃSKI,23.64,19.86,22.0,20.42,23.14,0.0,31.0,7.82,6.0,17.64,11.79,4.92
BRZESKI (BRZESKO),21.6,19.85,21.33,19.0,20.8,0.0,28.33,6.38,5.0,13.58,9.75,5.26
CHRZANOWSKI,23.83,21.83,22.5,21.2,22.83,0.0,0.0,9.6,0.0,13.33,8.75,5.83
DĄBROWSKI,21.2,19.25,18.2,17.06,17.95,0.0,25.0,6.34,4.0,12.33,8.94,4.61
GORLICKI,29.854997125857484,25.716606740727734,25.31325936198054,27.286017097065184,28.492233906207396,0.0,7.027101142776234,7.636940086376892,5.905420228555247,15.654092594243643,10.999214388543919,6.668177963639893
JASIELSKI,30.50250121907485,26.238501012892357,27.011124656604768,25.434767950782547,28.422757292241094,0.0,39.51128857407238,8.271358624987686,6.4759907508953525,17.638785840875016,13.841971374303764,7.236355087583966
KRAKOWSKI,39.67805110506586,35.161828386069104,38.854474533887654,34.49365938788982,37.92447453388766,0.0,0.0,13.70106472540333,5.0,29.261928740981624,23.22938294807559,9.23841857758478
KRAKÓW (MIASTO),21.47,19.4,22.0,19.27,21.07,0.0,0.0,8.67,0.0,15.4,12.36,5.3
LIMANOWSKI,25.85,21.77,22.5,21.5,25.18,0.0,0.0,6.92,4.5,10.46,8.85,5.15
MIELECKI,20.761385162821156,18.77179386786944,17.906321654565442,16.66282709522062,17.767050263918822,0.0,0.0,5.7399708859356995,4.745175238459842,10.335926777274164,7.888729484483553,4.1681937629238455
MYŚLENICKI,37.892147310623024,32.434196851861984,32.56279544418014,30.222852922780234,35.30696260898476,0.0,0.0,13.959103637285573,0.0,21.541883636053885,15.73052684586089,8.672465361829639
NOWOSĄDECKI,40.888052212331935,34.954598404146026,36.84018559006433,35.553800344805396,39.06508201434544,0.0,38.91020869250562,11.822755602579605,7.782041738501125,22.073308520102923,16.03947095545191,8.775656493242199
NOWOTARSKI,30.52152041219982,27.069535209221,26.448617263542236,25.563571172326977,26.780826433952992,0.0,0.0,10.883728911905832,0.0,15.753245923802217,12.73227084893268,8.920342775144633
ROPCZYCKI,34.48749878092515,29.631498987107644,33.568875343395234,29.015232049217456,31.50724270775891,0.0,39.98871142592762,9.148641375012316,6.324009249104647,17.821214159124985,13.548028625696237,7.713644912416035
