District,Pszenica,Żyto,Jęczmień browarny,Jęczmień na kaszę,Owies,Gryka,Groch,Ziemniaki jadalne,Ziemniaki fabryczne,Siano - koniczyny,Siano - łąkowe,Słoma
AUGUSTOWSKI,13.38,8.35,9.83,9.4,10.38,13.67,17.0,3.51,0.0,4.22,3.36,2.27
BIAŁOSTOCKI,13.42,8.32,0.0,10.88,11.41,16.33,16.23,2.94,0.0,5.15,3.87,2.08
BIELSKI (BIELSK PODLASKI),13.56,7.98,12.0,10.66,11.35,13.81,15.0,3.33,0.0,4.81,3.52,1.78
GRODZIEŃSKI,13.5,8.54,9.82,9.67,10.6,13.09,16.36,3.08,2.4,3.91,3.15,1.8
ŁOMŻYŃSKI,12.33,7.26,0.0,10.87,10.59,13.67,17.0,2.56,0.0,4.82,3.81,1.83
OSTROŁĘCKI,12.5,8.0,10.83,10.33,10.78,14.71,15.8,2.67,2.2,5.14,4.43,1.94
OSTROWSKI (OSTRÓW MAZOWIECKA),12.8,7.86,0.0,10.41,11.58,14.33,15.43,2.92,0.0,4.89,4.03,1.89
SOKÓLSKI,13.04,7.93,11.8,10.12,10.65,12.27,14.21,2.7,2.4,3.68,3.05,1.72
SUWALSKI,12.63,7.56,10.0,9.36,8.6,10.67,16.43,3.09,0.0,3.88,3.44,2.56
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),13.09,7.42,10.25,10.0,9.5,12.67,20.67,2.48,2.0,4.09,2.96,1.79
WOŁKOWYSKI,12.89,7.62,10.85,10.15,10.64,14.0,14.63,2.57,1.87,4.27,2.98,1.81
WYSOKOMAZOWIECKI,12.78,8.06,10.33,9.73,10.8,0.0,16.0,2.69,2.0,4.3,3.2,1.56
BIAŁYSTOK (MIASTO),13.42,8.32,0.0,10.88,11.41,0.0,0.0,2.94,0.0,5.15,3.87,2.08
BĘDZIŃSKI,16.33,11.82,0.0,13.5,13.25,0.0,0.0,5.7,0.0,7.56,6.05,3.63
CZĘSTOCHOWSKI,14.86,10.14,14.25,11.8,12.19,0.0,26.67,3.88,3.0,6.36,4.86,2.6
IŁŻECKI,12.79,8.54,10.29,9.15,9.5,14.83,18.6,3.21,2.88,4.9,4.3,2.33
