District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki
AUGUSTOWSKI,539.0,15500.0,2765.0,10148.0,7604.0
BIAŁOSTOCKI,1086.3781457655625,26796.6703794914,3832.88405692968,14161.363034412256,10173.704595554089
BIELSKI (BIELSK PODLASKI),2121.0,26826.0,8711.0,21198.0,15488.0
GRODZIEŃSKI,2923.45228370699,58513.664341744865,5884.086790418202,21263.583780539713,15899.11855660552
ŁOMŻYŃSKI,4591.898099223066,28852.913263174374,4035.2124997920528,14373.419556214543,13833.409817044274
OSTROŁĘCKI,2973.101900776934,29536.086736825626,2710.7875002079477,8545.580443785457,12684.590182955726
OSTROWSKI (OSTRÓW MAZOWIECKA),2716.0,21682.0,2093.0,12090.0,7537.0
SOKÓLSKI,434.0,29248.0,5513.0,14862.0,11841.0
SUWALSKI,765.0,32705.0,3936.0,16408.0,15862.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),1594.0,12014.0,1970.0,7040.0,6589.0
WOŁKOWYSKI,1291.0,48012.0,7539.0,22482.0,13607.0
WYSOKOMAZOWIECKI,2883.0,18972.0,3265.0,14868.0,9882.0
BIAŁYSTOK (MIASTO),15.621854234437507,385.32962050860283,55.11594307032035,203.6369655877448,146.29540444591206
BĘDZIŃSKI,840.7483209595231,6620.4546396376545,1646.7444360090772,3299.865423561268,5744.954112768163
CZĘSTOCHOWSKI,2902.7386247149643,25691.039469363797,6596.6903287412915,14664.725176891647,20130.136706272726
IŁŻECKI,4099.0,30897.0,10411.0,18340.0,17022.0
JĘDRZEJOWSKI,8755.6044474233,22847.13907029662,9686.318326262239,12260.863473440282,14380.794052553752
KIELECKI,3039.0,25579.0,5262.0,11322.0,13286.0
KONECKI,1610.0,15804.0,3800.0,8454.0,10260.0
KOZIENICKI,1571.0,28714.0,7457.0,15629.0,11064.0
MIECHOWSKI,14397.3955525767,17203.86092970338,14112.681673737761,15924.136526559718,11930.205947446248
OLKUSKI,1967.0,13616.0,9531.0,12943.0,13220.0
OPATOWSKI,7142.0,21629.0,13898.0,19423.0,12440.0
OPOCZYŃSKI,3006.0,28651.0,4772.0,13186.0,15045.0
PIŃCZOWSKI,7496.0,17408.0,8493.0,9688.0,10603.0
RADOMSKI,5489.860972216689,35961.79548628701,8165.243354364337,20401.763659732856,18193.981295703936
SANDOMIERSKI,7230.0,15162.0,9539.0,12318.0,8580.0
STOPNICKI,6997.0,17891.0,12963.0,15224.0,13410.0
WŁOSZCZOWSKI,6260.0,13828.0,5653.0,7814.0,11072.0
ZAWIERCIAŃSKI,1741.0952669411201,13710.217375059674,3410.222621824378,6833.650365127263,11897.154196060692
CZĘSTOCHOWA (MIASTO),76.26137528503577,674.9605306362045,173.30967125870836,385.2748231083546,528.8632937272756
SOSNOWIEC,55.15641209935676,434.32798530267087,108.03294216654443,216.4842113114685,376.891691171145
RADOM (MIASTO),75.1390277833105,492.2045137129921,111.75664563566235,279.2363402671418,249.01870429606387
BIALSKI (BIAŁA KRAKOWSKA),1988.3128525316679,4082.2412179007824,2794.8980917617782,11163.869395253008,6908.673739298394
BOCHEŃSKI,5322.0,8764.0,4336.0,9188.0,7245.0
BRZESKI (BRZESKO),8007.0,7649.0,6592.0,9725.0,9700.0
CHRZANOWSKI,1027.0,6429.0,2556.0,6243.0,7077.0
DĄBROWSKI,6392.0,7366.0,3894.0,6484.0,6907.0
GORLICKI,6853.279960760663,4700.733550252786,3689.1373251117084,4709.693607837381,8870.900544761796
JASIELSKI,8257.214306557606,7533.034002314005,8181.483419535711,14055.168048798061,7568.713410030906
KRAKOWSKI,6773.401343550793,11882.626661922197,5660.177934006502,12254.810837239418,8553.232953679848
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,3286.0,3964.0,4116.0,10053.0,6580.0
MIELECKI,6262.238600860525,12785.113661359726,5325.141100938267,8836.769736528046,9178.979439259741
MYŚLENICKI,5535.716636442008,6381.441618672785,5520.860571761916,14029.76742146878,6581.143917139056
NOWOSĄDECKI,7728.231306489546,5955.5427780431,9540.518186807976,13175.046513096171,11796.488384794466
NOWOTARSKI,1652.3731200275429,4356.554300484275,8052.649483637493,40538.5393777501,15115.19909850141
ROPCZYCKI,7766.785693442394,10681.965997685997,8296.51658046429,13845.83195120194,12581.286589969095
TARNOWSKI,6315.488732749792,6966.723671704114,3091.3444880803154,11403.259879066449,7138.611070443738
WADOWICKI,4864.150004842393,8336.99907680977,5249.680562416928,17975.888873421478,11987.95355879616
ŻYWIECKI,1098.046042605596,3012.1371242101914,4481.733356415381,13926.124094867218,11226.796732585131
BIALSKI (BIAŁA PODLASKA),2537.4057324152905,27426.108444284055,5528.177494183061,14227.483032758628,16609.764529861528
BIŁGORAJSKI,6178.0,16451.0,5707.0,11276.0,7750.0
CHEŁMSKI,19533.0,25262.0,7520.0,14192.0,14017.0
GARWOLIŃSKI,4997.0,25722.0,6540.0,14676.0,13095.0
HRUBIESZOWSKI,13786.026480952756,14541.825025939468,6957.325392353135,14870.914574803146,9097.421071089237
JANOWSKI,8519.0,14622.0,8929.0,20256.0,14542.0
KRASNOSTAWSKI,16431.0,14030.0,8078.0,17617.0,9583.0
LUBARTOWSKI,3306.0,25216.0,4364.0,11682.0,9056.0
LUBELSKI,14037.442077229383,24702.086096569037,11755.178783178162,23155.688152171006,17161.67680606403
ŁUKOWSKI,3256.0,30279.0,5525.0,18467.0,13683.0
PUŁAWSKI,5657.0,19312.0,10554.0,13853.0,12824.0
RADZYŃSKI,4455.734060156626,18917.204784115245,2477.288567970879,14031.330586754673,11062.168806332984
SIEDLECKI,3418.4989718197216,30424.137577128833,4767.8588378381555,15746.517770104709,16205.477519476299
SOKOŁOWSKI,5617.0,18660.0,3486.0,10850.0,10482.0
TOMASZOWSKI,10327.973519047244,12646.174974060532,8116.674607646866,14603.085425196856,5885.578928910764
WĘGROWSKI,2619.0,16932.0,3087.0,9780.0,10993.0
WŁODAWSKI,3892.0,28524.0,4359.0,13342.0,12371.0
ZAMOJSKI,11915.0,15344.0,7212.0,14716.0,9333.0
LUBLIN (MIASTO),250.55792277061693,440.9139034309645,209.8212168218387,413.31184782899425,306.3231939359698
BÓBRECKI,5212.0,5858.0,4353.0,7792.0,6701.0
BRZOZOWSKI,2176.0,4444.0,4478.0,7076.0,7971.0
DOBROMILSKI,5188.256311844181,8494.393025890535,1887.043365132059,9999.686486774384,4350.104425911043
DROHOBYCKI,4069.6637462136546,6588.2332305712225,3377.5698540850076,10917.266919439422,8285.649024120212
GRÓDECKI,4809.6033947735905,5110.905700777118,5541.852236351132,6593.5766457914215,6706.646369471309
JAROSŁAWSKI,10054.055166637392,15064.600001536244,7225.6104813355705,12020.2430665677,9354.072704363585
JAWOROWSKI,3458.932212810847,9453.512911750657,4336.53339128814,9249.691434146565,5385.008461843808
KOLBUSZOWSKI,3094.7613991394746,13517.886338640274,3851.8588990617327,9184.230263471954,6574.0205607402595
KROŚNIEŃSKI,6555.608393688421,6143.390307335648,7039.635948461281,11142.681020772192,9643.744923270515
LESKI,3420.0,4449.0,1857.0,34928.0,7496.0
LWOWSKI,9405.0,10471.0,7094.0,15296.0,10288.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,6953.143230972926,7673.532110270822,3688.994938931743,8149.886132033019,5042.13854717829
MOŚCISKI,5708.0,5335.0,3522.0,8657.0,5899.0
NIŻAŃSKI,3480.0,8741.0,4035.0,6632.0,4498.0
PRZEMYSKI,13502.0,8244.0,3686.0,10281.0,7779.0
PRZEWORSKI,3359.0,4144.0,3341.0,3046.0,3168.0
RAWSKI (RAWA RUSKA),9972.0,8430.0,7041.0,10663.0,7070.0
RUDECKI,3417.81665418355,3331.6032448144665,4294.815128800089,5704.949399285212,4748.674226398252
RZESZOWSKI,8881.248375338653,17255.07758239353,8699.369112606975,15886.432847194788,10585.116529551196
SAMBORSKI,7323.039227904461,6711.692169216454,6405.558642693828,11197.332611081476,6105.74791522273
SANOCKI,5569.0,7747.0,4617.0,16551.0,10341.0
SOKALSKI,12537.319871487492,7005.885804467362,6956.106880178124,10133.99340680308,9497.818754386619
TARNOBRZESKI,2302.0,7135.0,4432.0,3994.0,4305.0
ŻÓŁKIEWSKI,5806.249955796403,7316.5622943222315,3674.536046253491,6317.118212985336,5960.43928432979
LUBACZOWSKI,6725.592571594622,11320.378141121513,4569.188762225069,9646.539454209102,7857.598237923046
TURCZAŃSKI,3533.0407140377033,4640.681574321788,1906.8281380891049,26121.713982704714,4625.498634746014
BRZEZIŃSKI,2727.0,22891.0,3208.0,11457.0,12843.0
KALISKI,5600.0,22887.0,5781.0,15113.0,14002.0
KOLSKI,5342.0,31004.0,4430.0,10265.0,14465.0
KONIŃSKI,5634.0,47044.0,7573.0,15693.0,25839.0
ŁASKI,4083.0,24415.0,5745.0,13388.0,15773.0
ŁĘCZYCKI,8952.0,30065.0,5209.0,15322.0,15668.0
ŁÓDZKI,2769.0,23375.0,2609.0,9238.0,11442.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,4889.0,42033.0,9497.0,16340.0,20673.0
RADOMSZCZAŃSKI,6441.0,33569.0,7085.0,14778.0,23291.0
SIERADZKI,5734.0,26934.0,4103.0,14258.0,18079.0
TURECKI,6419.0,27252.0,3904.0,13223.0,14297.0
WIELUŃSKI,1779.0,39034.0,5129.0,19631.0,18315.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,1140.0991482468983,18954.49293347331,3868.433486830071,8424.239683154661,5577.998329053279
BRASŁAWSKI,1152.4800428476167,41427.48134327707,11098.041333805904,16207.128431964087,7655.252235080572
LIDZKI,556.2451125492752,48494.41870167457,7428.457529056303,20090.802979894666,9691.257556177145
NIEŚWIESKI,586.6102764724128,15293.999418084619,2145.502779142195,6696.593832934381,3837.2738527256174
NOWOGRÓDZKI,1614.3647627014066,28078.566232659694,4148.006614351457,10435.048543446419,6619.302438486974
SŁONIMSKI,793.7253925680694,20276.799314401833,2475.335748084046,7309.965520192479,4978.52150994241
STOŁPECKI,836.8181580102391,26192.88177229711,4602.3259933360205,13003.640010560515,6851.831393532519
WOŁOŻYŃSKI,704.6825141884619,33604.75656544645,6945.804979118143,17135.785219926056,8762.677613924703
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),459.76146785186745,26559.65486639345,3470.3191370708837,10370.47744673821,5360.6404198402115
BRZESKI (BRZEŚĆ N.BUG.),2059.361235608363,33319.54919447187,3566.6751000079043,16462.668610381992,11649.58914432919
DROHICKI,629.0,9813.0,1110.0,6753.0,3924.0
KOBRYŃSKI,707.8567128183412,19911.71096699987,1864.0614808200287,8374.177917721638,6447.635885068146
KOSZYRSKI,470.1432871816589,2827.2890330001296,863.9385191799714,1715.822082278362,1615.3641149318535
ŁUNINIECKI,277.0,15988.0,2247.0,5146.0,5409.0
PIŃSKI,399.0,22645.0,2750.0,6946.0,7050.0
PRUŻAŃSKI,546.0,19501.0,2029.0,8043.0,5385.0
STOLIŃSKI,230.0,7939.0,1316.0,2794.0,1311.0
IWACEWICKI,657.0,24855.0,3630.0,10768.0,7963.0
BRODNICKI,1413.2954868085928,20908.612058803585,3916.5235827097545,3138.331199362463,10566.696796449549
CHEŁMIŃSKI,4038.8911460194777,11359.278231326418,4478.84639524531,3590.776365830032,6335.624275790829
CHOJNICKI,903.3589867564575,20945.381365612546,1364.3411913386585,5325.310664731005,8733.936688028098
DZIAŁDOWSKI,149.0,7258.0,1001.0,1735.0,4614.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,3595.057976578378,11645.287147321524,3765.319296100599,5136.216472253649,5846.6171502601555
KARTUSKI,532.3850879604765,9050.157354923034,1088.867664726283,11154.38755205725,9988.782824650045
KOŚCIERSKI,693.9773606269437,13031.051415320691,967.1062413283387,6487.786044960074,9185.778715491693
LUBAWSKI,832.9605107820432,15237.316840834148,3810.289948975298,4235.897222650552,8785.956022032047
SĘPOLEŃSKI,306.0,13126.0,2026.0,4732.0,4568.0
STAROGARDZKI,2187.3418595484773,13650.51575916944,2623.7863818662026,4674.656957169313,9528.299428824317
ŚWIECKI,2019.9960783416466,23759.120335091015,3985.405586029085,4593.6399498896535,12414.79984035632
TCZEWSKI,3558.265029445672,6374.794758177504,3171.259116715257,4387.960332277291,4760.73980456541
