District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR
AUGUSTOWSKI,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,32.0,1.0,381.0,28.0
BIAŁOSTOCKI,0.0,0.0,3.9432963548659257,0.0,10.844064975881295,0.0,33.51801901636037,0.9858240887164814,52.248676701973515,3.9432963548659257,25.631426306628516,1.9716481774329628,104.49735340394703,3.9432963548659257,1392.9694373563882,108.44064975881295
BIELSKI (BIELSK PODLASKI),1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,7.0,0.0,18.0,0.0,62.0,2.0,1030.0,85.0
GRODZIEŃSKI,0.0,0.0,0.0,0.0,0.9295555751055612,0.0,14.872889201688979,0.0,21.379778227427906,0.0,28.816222828272398,2.7886667253166837,65.06889025738928,1.8591111502111224,1570.0193663532928,160.81311449326208
ŁOMŻYŃSKI,0.0,0.0,0.0,0.0,1.0,0.0,4.581742015201103,0.0,11.74522604560331,1.0,18.653936121608826,0.0,56.05309828882096,4.1634840304022065,1167.0130566515377,56.216582319223164
OSTROŁĘCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.4182579847988968,0.0,6.254773954396691,0.0,13.346063878391174,0.0,37.94690171117904,1.8365159695977935,577.9869433484624,40.783417680776836
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,15.0,0.0,56.0,3.0,828.0,22.0
SOKÓLSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,2.0,34.0,2.0,427.0,35.0
SUWALSKI,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,7.0,0.0,41.0,1.0,649.0,58.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,14.0,0.0,19.0,0.0,445.0,26.0
WOŁKOWYSKI,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,17.0,1.0,26.0,3.0,75.0,6.0,488.0,28.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,36.0,1.0,353.0,21.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.056703645134074436,0.0,0.1559350241187047,0.0,0.4819809836396327,0.014175911283518609,0.7513232980264862,0.056703645134074436,0.3685736933714838,0.028351822567037218,1.5026465960529725,0.056703645134074436,20.030562643611795,1.559350241187047
BĘDZIŃSKI,7.970689428891951,0.0,2.5506206172454244,0.0,7.0142066974249175,0.31882757715567805,13.709585817694157,0.0,20.404964937963395,0.0,20.08613736080772,0.9564827314670341,44.95468837895061,2.8694481944011025,849.9943206970377,57.070136310866374
CZĘSTOCHOWSKI,7.795202751836091,0.0,0.9744003439795114,0.0,3.8976013759180455,0.9744003439795114,48.72001719897557,0.0,63.33602235866824,1.9488006879590227,71.13122511050433,5.846402063877068,179.2896632922301,12.667204471733648,1830.8982463375019,105.23523714978722
IŁŻECKI,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,26.0,6.0,101.0,0.0,601.0,51.0
JĘDRZEJOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0159311579168055,0.0,13.119483684376043,0.0,17.215070631876877,4.0079655789584026,65.43014126375375,2.0159311579168055,339.26588737294514,20.08762136854243
KIELECKI,0.0,0.0,1.0,0.0,2.0,0.0,16.0,0.0,27.0,3.0,35.0,7.0,66.0,5.0,1277.0,47.0
KONECKI,0.0,0.0,1.0,0.0,2.0,0.0,19.0,0.0,32.0,0.0,33.0,1.0,78.0,3.0,800.0,43.0
KOZIENICKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,18.0,0.0,153.0,4.0,775.0,47.0
MIECHOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.9840688420831945,0.0,14.880516315623959,0.0,26.784929368123127,0.9920344210415972,53.56985873624625,1.9840688420831945,406.73411262705486,10.91237863145757
