District,Powierzchnia lasów (ha)
AUGUSTOWSKI,80122.0
BIAŁOSTOCKI,70765.0
BIELSKI (BIELSK PODLASKI),147695.0
GRODZIEŃSKI,113393.07531141653
ŁOMŻYŃSKI,53012.45141420896
OSTROŁĘCKI,46507.54858579104
OSTROWSKI (OSTRÓW MAZOWIECKA),38649.0
SOKÓLSKI,41912.0
SUWALSKI,42758.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),27067.0
WOŁKOWYSKI,76811.0
WYSOKOMAZOWIECKI,15220.0
BIAŁYSTOK (MIASTO),706.0
BĘDZIŃSKI,9091.0
CZĘSTOCHOWSKI,49507.0
IŁŻECKI,44202.0
JĘDRZEJOWSKI,19632.077325587383
KIELECKI,66441.0
KONECKI,76255.0
KOZIENICKI,47287.0
MIECHOWSKI,10221.922674412617
OLKUSKI,35482.0
OPATOWSKI,31276.0
OPOCZYŃSKI,43547.0
PIŃCZOWSKI,10361.0
RADOMSKI,22279.069217707405
SANDOMIERSKI,15335.0
STOPNICKI,21053.0
WŁOSZCZOWSKI,45222.0
ZAWIERCIAŃSKI,24463.0
CZĘSTOCHOWA (MIASTO),19.0
SOSNOWIEC,60.0
RADOM (MIASTO),304.93078229259373
BIALSKI (BIAŁA KRAKOWSKA),13627.451707588734
BOCHEŃSKI,21753.0
BRZESKI (BRZESKO),15673.0
CHRZANOWSKI,26590.0
DĄBROWSKI,5850.0
GORLICKI,21227.202095727836
JASIELSKI,24190.71784841182
KRAKOWSKI,7218.448535410439
KRAKÓW (MIASTO),50.0
LIMANOWSKI,27981.0
MIELECKI,19010.544823263645
MYŚLENICKI,25178.7558955848
NOWOSĄDECKI,45564.82044352203
NOWOTARSKI,49969.51417727715
ROPCZYCKI,21851.28215158818
TARNOWSKI,13156.977460750135
WADOWICKI,22338.1901665299
ŻYWIECKI,41582.63951760897
BIALSKI (BIAŁA PODLASKA),31925.21278502245
BIŁGORAJSKI,63464.0
CHEŁMSKI,24768.0
GARWOLIŃSKI,40353.0
HRUBIESZOWSKI,22046.36266739608
JANOWSKI,52747.0
KRASNOSTAWSKI,25609.0
LUBARTOWSKI,19593.0
LUBELSKI,20225.641299640734
ŁUKOWSKI,27162.0
PUŁAWSKI,30700.0
RADZYŃSKI,29138.011516519215
SIEDLECKI,25577.79831579842
SOKOŁOWSKI,18444.0
TOMASZOWSKI,28186.63733260392
WĘGROWSKI,22908.0
WŁODAWSKI,39654.0
ZAMOJSKI,55590.0
LUBLIN (MIASTO),65.35870035926706
BÓBRECKI,21063.0
