District,Total,1. All types of professional purchasing (total),a. Professional purchasing (agricultural products),b. Professional purchasing (livestock),c. Professional purchasing (plant and animal products),2. Food and colonial goods (exclusively),3. Food products along with non-food items (excluding wine and spirits),"4. Meat, fats, and meat products (exclusively)",5. Catering establishments with and without alcohol,"6. Wine, spirits, and beer (possibly with food and colonial goods)",7. Tobacco monopoly products,8. Textiles,"9. Textiles with clothing, haberdashery, garments, and footwear",10. Ready-made clothing and haberdashery,"11. Garments, garment parts, furs, and fur products",12. Footwear,13. Footwear with leather and shoemaking accessories,14. All types of leather and leather products (excluding footwear),"15. Machinery, tools, and technical goods (excluding agricultural)",16. Building materials and fuels,17. Furniture and all wooden products,"18. Iron, ironware, enameled and aluminum goods (possibly with other goods)","19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors","20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops)","21. Musical, optical, surgical instruments, photographic equipment and accessories","22. Watchmaking, jewelry, and silver-plated products","23. Electrical equipment, radio equipment, and all lighting accessories",24. Pharmacies,"25. Pharmaceutical warehouses, perfumeries, and cosmetic shops","26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.","27. Bookstores, stationery, and paper products (possibly with other goods)","28. Agricultural machinery, tools, and goods",29. Agricultural-commercial syndicates and cooperatives,"30. Banks, exchange offices, and other short- and long-term credit institutions","31. Forwarding, transport, and communication enterprises","32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.)","33. Hotels, boarding houses, furnished rooms, lodging houses","34. Theaters, cinemas, and other performances",35. Insurance companies,"36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.",37. Other enterprises not listed above,38. Cards with no industry/branch specified,ZP. Industrial activities
AUGUSTOWSKI,214.0,46.0,24.0,2.0,1.0,54.0,20.0,29.0,1.0,0.0,13.0,0.0,0.0,13.0,9.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0
BIAŁOSTOCKI,251.0,62.0,28.0,1.0,10.0,58.0,8.0,62.0,8.0,0.0,14.0,3.0,5.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),487.0,118.0,61.0,2.0,31.0,101.0,25.0,61.0,3.0,0.0,3.0,11.0,7.0,31.0,35.0,19.0,1.0,5.0,0.0,1.0,0.0,6.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,21.0,6.0,0.0,0.0,1.0,3.0,4.0,0.0
GRODZIEŃSKI,553.0,139.0,86.0,3.0,6.0,163.0,30.0,26.0,18.0,0.0,9.0,8.0,3.0,26.0,9.0,9.0,0.0,20.0,0.0,4.0,3.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,4.0,26.0,5.0,0.0,0.0,1.0,6.0,5.0,2.0
ŁOMŻYŃSKI,681.70518440832,88.43316463844633,61.779228516837506,0.5817420152011032,13.163484030402206,143.88542509447944,33.4522604560331,137.46716710968053,7.581742015201103,0.0,4.581742015201103,37.72613022801655,3.5817420152011032,45.23567813680993,42.72613022801655,51.49045209120662,3.1634840304022065,9.74522604560331,0.0,7.581742015201103,6.4904520912066195,3.326968060804413,6.581742015201103,0.0,0.0,0.5817420152011032,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,23.32696806080441,6.581742015201103,0.0,0.0,0.0,9.163484030402206,0.0,2.0
OSTROŁĘCKI,576.29481559168,54.566835361553665,36.220771483162494,2.4182579847988968,9.836515969597794,146.11457490552056,22.547739543966905,158.53283289031947,9.418257984798897,0.0,3.4182579847988968,10.273869771983453,1.4182579847988968,27.76432186319007,37.27386977198345,31.50954790879338,2.8365159695977935,6.254773954396691,0.0,9.418257984798897,3.509547908793381,9.673031939195587,7.418257984798897,3.0,0.0,0.4182579847988968,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,3.0,6.673031939195587,1.4182579847988968,0.0,0.0,0.0,1.8365159695977935,8.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),400.0,23.0,9.0,1.0,8.0,126.0,18.0,80.0,2.0,0.0,5.0,17.0,3.0,36.0,10.0,15.0,1.0,5.0,0.0,5.0,9.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0
SOKÓLSKI,207.0,32.0,19.0,0.0,4.0,44.0,18.0,14.0,5.0,0.0,13.0,0.0,1.0,10.0,9.0,9.0,2.0,9.0,0.0,4.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,17.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
SUWALSKI,260.0,43.0,17.0,3.0,6.0,52.0,9.0,30.0,2.0,0.0,12.0,3.0,3.0,25.0,17.0,11.0,1.0,6.0,0.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,11.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),277.0,55.0,46.0,1.0,4.0,67.0,10.0,62.0,7.0,0.0,5.0,1.0,2.0,6.0,10.0,10.0,2.0,6.0,0.0,2.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0
