District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka,Proso
AUGUSTOWSKI,2742.0,16120.0,3744.0,11270.0,8630.0,0.0,1215.0,1.0
BIAŁOSTOCKI,4107.0,34761.0,6545.0,16423.0,16246.0,0.0,920.0,8.0
BIELSKI (BIELSK PODLASKI),13727.0,56290.0,7713.0,21277.0,26959.0,0.0,1606.0,314.0
GRODZIEŃSKI,6922.0,53335.0,10949.0,23151.0,22321.0,0.0,3810.0,27.0
ŁOMŻYŃSKI,12205.0,56129.0,4331.0,17477.0,25587.0,0.0,1857.0,158.0
OSTROŁĘCKI,4476.0,36303.0,1563.0,5181.0,14568.0,73.0,2253.0,197.0
OSTROWSKI (OSTRÓW MAZOWIECKA),5290.0,26850.0,2525.0,5394.0,10031.0,45.0,1562.0,134.0
SOKÓLSKI,2250.0,37409.0,4741.0,19798.0,13966.0,0.0,1844.0,0.0
SUWALSKI,3778.0,27313.0,5350.0,25388.0,10375.0,0.0,434.0,1.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),4694.0,21748.0,2644.0,6750.0,10305.0,0.0,602.0,69.0
WOŁKOWYSKI,6174.0,61974.0,11399.0,29087.0,23320.0,0.0,5137.0,25.0
WYSOKOMAZOWIECKI,9180.0,24527.0,3280.0,8566.0,10671.0,57.0,71.0,25.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,523.0,9946.0,1372.0,1470.0,6991.0,0.0,6.0,2.0
CZĘSTOCHOWSKI,2074.0,49814.0,2858.0,7857.0,20811.0,37.0,225.0,320.0
IŁŻECKI,5106.0,36485.0,13159.0,17685.0,15512.0,0.0,2042.0,544.0
JĘDRZEJOWSKI,14007.0,25456.0,7287.0,8343.0,13739.0,10.0,25.0,296.0
KIELECKI,5310.0,31571.0,5804.0,7950.0,20379.0,0.0,263.0,325.0
KONECKI,1717.0,29982.0,2493.0,5251.0,19456.0,0.0,129.0,246.0
KOZIENICKI,3837.0,38652.0,8141.0,12225.0,13938.0,106.0,2333.0,652.0
MIECHOWSKI,19628.0,21538.0,9880.0,14262.0,13093.0,561.0,19.0,491.0
OLKUSKI,4516.0,26370.0,6266.0,9092.0,16562.0,0.0,191.0,8.0
OPATOWSKI,14226.0,26115.0,11143.0,19878.0,15966.0,1159.0,205.0,475.0
OPOCZYŃSKI,2970.0,47482.0,4209.0,11168.0,18169.0,0.0,732.0,590.0
PIŃCZOWSKI,13999.0,18927.0,8546.0,7712.0,9931.0,1046.0,27.0,1400.0
RADOMSKI,5653.0,57423.0,9561.0,16908.0,22497.0,1.0,941.0,1084.0
SANDOMIERSKI,8683.0,16502.0,7279.0,9120.0,10319.0,816.0,37.0,853.0
STOPNICKI,12472.0,32311.0,8789.0,10937.0,17325.0,18.0,85.0,1793.0
WŁOSZCZOWSKI,8684.0,23100.0,2455.0,4980.0,12217.0,7.0,27.0,186.0
ZAWIERCIAŃSKI,1777.0,20395.0,2410.0,3230.0,11338.0,0.0,108.0,15.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
