District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka,Proso,Kukurydza
AUGUSTOWSKI,3010.0,16018.0,3361.0,11959.0,9883.0,0.0,878.0,1.0,1.0
BIAŁOSTOCKI,4402.0,35078.0,5851.0,16295.0,18331.0,0.0,765.0,57.0,0.0
BIELSKI (BIELSK PODLASKI),13273.0,57790.0,5621.0,21263.0,30008.0,0.0,1390.0,207.0,1.0
GRODZIEŃSKI,9038.0,55883.0,10852.0,22902.0,24971.0,0.0,4245.0,39.0,0.0
ŁOMŻYŃSKI,11070.0,57675.0,4469.0,17383.0,26522.0,6.0,1915.0,216.0,1.0
OSTROŁĘCKI,4217.0,35880.0,1579.0,6256.0,14639.0,68.0,2251.0,348.0,1.0
OSTROWSKI (OSTRÓW MAZOWIECKA),5864.0,26178.0,2272.0,6806.0,11397.0,138.0,1313.0,232.0,4.0
SOKÓLSKI,3725.0,36392.0,4924.0,19508.0,14645.0,0.0,1442.0,7.0,0.0
SUWALSKI,3778.0,28476.0,5410.0,25359.0,11567.0,0.0,490.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),3884.0,21102.0,3564.0,7788.0,10642.0,0.0,655.0,71.0,0.0
WOŁKOWYSKI,6934.0,67077.0,11604.0,28217.0,25393.0,0.0,4420.0,117.0,2.0
WYSOKOMAZOWIECKI,8184.0,24884.0,3666.0,9473.0,11408.0,153.0,156.0,28.0,7.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,562.0,10340.0,943.0,1946.0,6776.0,0.0,11.0,17.0,0.0
CZĘSTOCHOWSKI,1974.0,49994.0,2440.0,7993.0,21945.0,40.0,126.0,558.0,5.0
IŁŻECKI,5592.0,37055.0,13025.0,19038.0,17502.0,158.0,2165.0,633.0,0.0
JĘDRZEJOWSKI,13754.0,24025.0,7377.0,8398.0,14583.0,14.0,35.0,5156.0,9.0
KIELECKI,4873.0,32308.0,5110.0,9135.0,21260.0,0.0,245.0,407.0,0.0
KONECKI,1419.0,30575.0,2282.0,5659.0,20877.0,0.0,192.0,382.0,2.0
KOZIENICKI,4539.0,38196.0,8449.0,12909.0,15510.0,405.0,1881.0,839.0,0.0
MIECHOWSKI,19408.0,20943.0,7725.0,14595.0,14033.0,771.0,12.0,425.0,83.0
OLKUSKI,1505.0,26310.0,5344.0,9040.0,18316.0,0.0,176.0,11.0,0.0
OPATOWSKI,13249.0,26809.0,11180.0,20413.0,16583.0,1992.0,170.0,555.0,13.0
OPOCZYŃSKI,2994.0,46722.0,4160.0,11561.0,20258.0,0.0,678.0,656.0,3.0
PIŃCZOWSKI,14166.0,18393.0,7922.0,8496.0,10705.0,1380.0,91.0,1481.0,0.0
RADOMSKI,6373.0,57261.0,9376.0,17813.0,24728.0,0.0,939.0,1148.0,1.0
SANDOMIERSKI,10816.0,17664.0,7968.0,10534.0,11676.0,1343.0,20.0,1498.0,3.0
STOPNICKI,13252.0,31771.0,7816.0,12123.0,18453.0,178.0,218.0,1849.0,34.0
WŁOSZCZOWSKI,8237.0,23528.0,2454.0,5338.0,13982.0,0.0,46.0,213.0,2.0
ZAWIERCIAŃSKI,1574.0,20508.0,2180.0,3432.0,11318.0,0.0,131.0,25.0,5.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),1043.0,8064.0,758.0,7351.0,7590.0,13.0,0.0,0.0,3.0
BOCHEŃSKI,7948.0,10767.0,3093.0,6990.0,7889.0,22.0,0.0,167.0,21.0
BRZESKI (BRZESKO),8236.0,13129.0,4190.0,7780.0,11120.0,22.0,7.0,564.0,108.0
CHRZANOWSKI,1363.0,12101.0,831.0,4067.0,8913.0,0.0,0.0,98.0,4.0
DĄBROWSKI,9038.0,11703.0,3295.0,5786.0,6830.0,34.0,2.0,303.0,336.0
GORLICKI,5818.0,9595.0,4843.0,12334.0,8777.0,0.0,2.0,62.0,1.0
JASIELSKI,9461.0,12299.0,4543.0,8517.0,10932.0,0.0,46.0,287.0,27.0
KRAKOWSKI,9788.0,16638.0,2457.0,10470.0,11178.0,113.0,7.0,93.0,0.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,6015.0,6575.0,4093.0,10029.0,8202.0,0.0,0.0,3.0,0.0
MIELECKI,7593.0,13463.0,2827.0,7610.0,10448.0,0.0,85.0,307.0,68.0
MYŚLENICKI,6255.0,9667.0,9244.0,12456.0,10352.0,0.0,0.0,23.0,0.0
NOWOSĄDECKI,7332.0,12340.0,9149.0,19070.0,12296.0,0.0,0.0,8.0,4.0
NOWOTARSKI,209.0,4637.0,8542.0,32041.0,15309.0,0.0,0.0,0.0,0.0
ROPCZYCKI,9669.0,20600.0,4177.0,8594.0,13754.0,81.0,51.0,339.0,33.0
TARNOWSKI,8357.0,13516.0,2401.0,8517.0,9924.0,22.0,8.0,96.0,19.0
WADOWICKI,6117.0,13167.0,1464.0,13349.0,12636.0,74.0,1.0,24.0,14.0
ŻYWIECKI,967.0,5637.0,2214.0,13447.0,11664.0,0.0,0.0,0.0,5.0
BIALSKI (BIAŁA PODLASKA),7173.0,39095.0,3236.0,16427.0,20052.0,0.0,935.0,448.0,21.0
BIŁGORAJSKI,5053.0,21349.0,4696.0,10847.0,10146.0,0.0,4264.0,926.0,0.0
CHEŁMSKI,17400.0,32807.0,10086.0,10736.0,17201.0,676.0,1524.0,476.0,3.0
GARWOLIŃSKI,5198.0,39588.0,8352.0,13701.0,20290.0,71.0,1789.0,873.0,1.0
HRUBIESZOWSKI,25787.0,17944.0,10360.0,13435.0,11949.0,1825.0,1538.0,607.0,17.0
JANOWSKI,12205.0,28669.0,10114.0,17217.0,15586.0,258.0,3937.0,866.0,3.0
KRASNOSTAWSKI,23165.0,21165.0,9414.0,11510.0,13286.0,1378.0,1474.0,616.0,0.0
LUBARTOWSKI,5362.0,33802.0,3247.0,8292.0,15067.0,205.0,5733.0,384.0,0.0
LUBELSKI,26293.0,33605.0,12815.0,17066.0,19988.0,3855.0,2086.0,554.0,36.0
ŁUKOWSKI,4442.0,43441.0,2912.0,14560.0,19375.0,0.0,2679.0,406.0,0.0
PUŁAWSKI,8822.0,28552.0,10485.0,9788.0,15453.0,2129.0,3349.0,1236.0,3.0
RADZYŃSKI,8213.0,25562.0,1729.0,13725.0,14981.0,119.0,2010.0,495.0,2.0
SIEDLECKI,8777.0,41640.0,2971.0,16672.0,21234.0,64.0,287.0,155.0,0.0
SOKOŁOWSKI,7536.0,24300.0,3182.0,8426.0,15233.0,1105.0,222.0,149.0,6.0
TOMASZOWSKI,16910.0,17083.0,8722.0,10528.0,10554.0,1648.0,1382.0,670.0,32.0
WĘGROWSKI,5044.0,23192.0,2295.0,7966.0,13779.0,246.0,401.0,297.0,0.0
WŁODAWSKI,7462.0,36194.0,3252.0,13029.0,15286.0,36.0,4571.0,728.0,0.0
ZAMOJSKI,18432.0,18032.0,8545.0,11813.0,12382.0,1844.0,1442.0,510.0,2.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,10861.0,7686.0,2878.0,6374.0,8652.0,1420.0,408.0,581.0,848.0
BRZOZOWSKI,6479.0,10060.0,3966.0,5953.0,6336.0,33.0,6.0,58.0,10.0
DOBROMILSKI,6568.0,9106.0,1887.0,8444.0,6607.0,23.0,116.0,49.0,55.0
DROHOBYCKI,4501.0,10312.0,3033.0,10410.0,10443.0,0.0,95.0,353.0,108.0
GRÓDECKI,6190.0,10013.0,3305.0,6752.0,6992.0,62.0,874.0,491.0,28.0
JAROSŁAWSKI,11605.0,23247.0,5322.0,9674.0,10662.0,1206.0,526.0,653.0,51.0
JAWOROWSKI,3862.0,15326.0,2845.0,8671.0,8728.0,3.0,937.0,750.0,17.0
KOLBUSZOWSKI,2910.0,16165.0,3214.0,4976.0,9064.0,0.0,532.0,447.0,6.0
KROŚNIEŃSKI,7679.0,11784.0,4287.0,7484.0,8618.0,23.0,38.0,46.0,7.0
LESKI,3041.0,10603.0,2400.0,25159.0,11180.0,0.0,4.0,28.0,2.0
LWOWSKI,13172.0,14355.0,3489.0,11702.0,11872.0,137.0,1086.0,432.0,128.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,8218.0,18410.0,4103.0,8388.0,8374.0,377.0,776.0,1010.0,9.0
MOŚCISKI,8502.0,14105.0,2546.0,5666.0,8098.0,51.0,308.0,585.0,146.0
NIŻAŃSKI,4028.0,12605.0,2017.0,3997.0,8540.0,11.0,568.0,768.0,11.0
PRZEMYSKI,13482.0,15529.0,3134.0,7080.0,9245.0,455.0,76.0,240.0,177.0
PRZEWORSKI,6199.0,8102.0,1063.0,3763.0,3729.0,1432.0,71.0,152.0,15.0
RAWSKI (RAWA RUSKA),13165.0,16422.0,7008.0,7966.0,11576.0,272.0,1305.0,517.0,34.0
RUDECKI,6372.0,7237.0,2455.0,4739.0,7835.0,161.0,394.0,627.0,401.0
RZESZOWSKI,14730.0,20750.0,6470.0,10124.0,11149.0,105.0,73.0,293.0,69.0
SAMBORSKI,9533.0,15487.0,4822.0,8846.0,11563.0,21.0,129.0,512.0,113.0
SANOCKI,8822.0,12263.0,4784.0,12199.0,10174.0,52.0,1.0,55.0,1.0
SOKALSKI,19928.0,12995.0,6088.0,8907.0,11527.0,413.0,718.0,699.0,69.0
TARNOBRZESKI,3282.0,11122.0,3486.0,4552.0,8955.0,224.0,208.0,746.0,0.0
ŻÓŁKIEWSKI,9884.0,11721.0,3098.0,6348.0,8379.0,18.0,1019.0,598.0,93.0
LUBACZOWSKI,5875.0,13614.0,2969.0,9145.0,8438.0,0.0,1783.0,780.0,6.0
TURCZAŃSKI,672.0,6851.0,1266.0,33152.0,9057.0,0.0,1.0,1.0,0.0
BRZEZIŃSKI,2572.0,34343.0,1083.0,8421.0,15041.0,101.0,73.0,36.0,6.0
KALISKI,8507.422897911509,38513.35879512882,2747.1413608123,9533.765554893196,16635.604640059308,1717.6597895700775,229.52096130943738,153.85158456342236,30.167109451570397
KOLSKI,6154.0,37809.0,3251.0,4887.0,15025.0,907.0,122.0,78.0,5.0
KONIŃSKI,7055.0,72403.0,5718.0,9722.0,27292.0,1810.0,161.0,75.0,36.0
ŁASKI,3088.0,40716.0,1105.0,7541.0,15925.0,18.0,220.0,275.0,13.0
ŁĘCZYCKI,9823.0,35311.0,2920.0,8337.0,15412.0,2845.0,35.0,190.0,12.0
ŁÓDZKI,1153.0,26553.0,634.0,6410.0,12464.0,0.0,58.0,7.0,3.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,4348.0,56916.0,2733.0,11661.0,22653.0,3.0,250.0,397.0,1.0
RADOMSZCZAŃSKI,3876.0,54346.0,3916.0,9093.0,24876.0,21.0,216.0,813.0,8.0
SIERADZKI,4278.0,50968.0,1309.0,10219.0,19426.0,349.0,198.0,265.0,10.0
TURECKI,4691.577102088492,36340.64120487117,1262.8586391877004,7179.234445106805,12538.39535994069,485.3402104299225,151.4790386905626,249.14841543657764,6.832890548429602
WIELUŃSKI,2420.0,36419.0,1443.0,10405.0,22558.0,1017.0,318.0,253.0,15.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,3815.0,42142.0,8035.0,18070.0,19893.0,0.0,6177.0,29.0,7.0
BRASŁAWSKI,5497.0,37183.0,5955.0,19992.0,14666.0,0.0,370.0,2.0,1.0
LIDZKI,1487.0,54897.0,12081.0,22522.0,18063.0,0.0,8305.0,0.0,7.0
NIEŚWIESKI,4638.0,29893.0,7365.0,16661.0,18230.0,0.0,2214.0,48.0,0.0
NOWOGRÓDZKI,6219.0,36556.0,8703.0,20324.0,16882.0,0.0,4608.0,71.0,0.0
SŁONIMSKI,3842.0,41995.0,5963.0,13952.0,16467.0,0.0,6429.0,36.0,0.0
STOŁPECKI,3032.0,29697.0,6069.0,12828.0,14068.0,0.0,2703.0,3.0,0.0
