District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka,Proso,Kukurydza
AUGUSTOWSKI,34115.0,187490.0,38261.0,141176.0,1164502.0,0.0,4982.0,15.0,25.0
BIAŁOSTOCKI,49946.0,408016.0,66351.0,179899.0,2093099.0,0.0,3947.0,632.0,0.0
BIELSKI (BIELSK PODLASKI),111235.0,593164.0,45772.0,201301.0,3123823.0,0.0,9452.0,2494.0,0.0
GRODZIEŃSKI,87581.0,621356.0,95557.0,201370.0,2279189.0,0.0,25434.0,415.0,0.0
ŁOMŻYŃSKI,110027.0,606632.0,45253.0,202454.0,3035397.0,710.0,14900.0,2413.0,8.0
OSTROŁĘCKI,49484.0,406475.0,18463.0,84993.0,1786507.0,10927.0,13941.0,3791.0,8.0
OSTROWSKI (OSTRÓW MAZOWIECKA),54491.0,284395.0,24176.0,79717.0,1315647.0,18872.0,10184.0,2532.0,54.0
SOKÓLSKI,32823.0,371923.0,38394.0,156331.0,1389465.0,0.0,6627.0,72.0,0.0
SUWALSKI,37204.0,304300.0,54641.0,278775.0,1111484.0,0.0,2570.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),48514.0,242986.0,40057.0,94934.0,1216095.0,0.0,3769.0,1014.0,0.0
WOŁKOWYSKI,46674.0,665874.0,81536.0,211033.0,2510054.0,0.0,24842.0,1294.0,8.0
WYSOKOMAZOWIECKI,86470.0,300980.0,41230.0,106938.0,1583566.0,29577.0,942.0,397.0,52.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,6768.0,124093.0,11700.0,27551.0,538754.0,0.0,77.0,189.0,0.0
CZĘSTOCHOWSKI,28426.0,631033.0,31678.0,123980.0,2426550.0,6767.0,1017.0,8929.0,97.0
IŁŻECKI,51402.0,379023.0,100729.0,206829.0,1727852.0,34268.0,14299.0,5974.0,0.0
JĘDRZEJOWSKI,168809.0,289241.0,99586.0,119915.0,1650060.0,2446.0,250.0,8583.0,113.0
KIELECKI,35165.0,256119.0,35810.0,89956.0,2038098.0,0.0,1229.0,3673.0,0.0
KONECKI,13591.0,283537.0,20275.0,63855.0,2244654.0,0.0,1216.0,5161.0,28.0
KOZIENICKI,51985.0,421734.0,92563.0,156110.0,1714069.0,75100.0,16406.0,12370.0,0.0
MIECHOWSKI,285762.0,310779.0,115632.0,246484.0,1743963.0,180416.0,108.0,7179.0,1720.0
OLKUSKI,43732.0,258170.0,45504.0,109372.0,1690786.0,0.0,1200.0,125.0,0.0
OPATOWSKI,169828.0,342257.0,132565.0,273369.0,2310901.0,459127.0,1219.0,8220.0,152.0
OPOCZYŃSKI,37381.0,595806.0,50173.0,171163.0,2582714.0,0.0,5426.0,9636.0,30.0
PIŃCZOWSKI,189750.0,234843.0,98545.0,130660.0,1234005.0,302516.0,567.0,24566.0,732.0
RADOMSKI,60062.0,612194.0,102376.0,227071.0,3251905.0,0.0,6642.0,16724.0,0.0
SANDOMIERSKI,156451.0,250256.0,102265.0,165424.0,1683517.0,284432.0,94.0,29848.0,56.0
STOPNICKI,147993.0,360870.0,90227.0,173539.0,1921827.0,97741.0,1878.0,29468.0,588.0
WŁOSZCZOWSKI,107656.0,286133.0,30254.0,74654.0,1780634.0,0.0,259.0,3069.0,8.0
ZAWIERCIAŃSKI,17089.0,234120.0,24490.0,44794.0,1278934.0,0.0,786.0,289.0,54.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),16056.0,127174.0,10566.0,115826.0,908202.0,2430.0,0.0,0.0,42.0
BOCHEŃSKI,98511.0,117425.0,30745.0,80097.0,862151.0,3362.0,0.0,1973.0,273.0
BRZESKI (BRZESKO),84790.0,154870.0,54073.0,112058.0,1035660.0,4061.0,56.0,8966.0,2311.0
CHRZANOWSKI,13673.0,132159.0,8967.0,47265.0,652323.0,0.0,0.0,1582.0,85.0
DĄBROWSKI,78886.0,110288.0,30209.0,61125.0,637738.0,3417.0,18.0,4118.0,5727.0
GORLICKI,54154.0,101117.0,44919.0,120080.0,660635.0,0.0,17.0,846.0,12.0
JASIELSKI,88994.0,122432.0,31395.0,85465.0,953692.0,0.0,258.0,3013.0,367.0
KRAKOWSKI,146031.0,254277.0,35225.0,161013.0,1345035.0,23021.0,62.0,1368.0,0.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,47967.0,61283.0,36655.0,95580.0,764146.0,0.0,0.0,38.0,0.0
MIELECKI,79361.0,138203.0,33765.0,87801.0,1249422.0,0.0,881.0,4820.0,1350.0
MYŚLENICKI,70214.0,124908.0,36353.0,154822.0,984924.0,0.0,0.0,298.0,0.0
NOWOSĄDECKI,72505.0,132196.0,85211.0,200914.0,1047257.0,0.0,0.0,66.0,57.0
NOWOTARSKI,1431.0,44185.0,78739.0,263332.0,1149903.0,0.0,0.0,0.0,0.0
ROPCZYCKI,96105.0,213959.0,43375.0,99133.0,1438144.0,17580.0,380.0,5589.0,931.0
TARNOWSKI,85025.0,156998.0,24494.0,106231.0,1140180.0,3321.0,42.0,1541.0,350.0
WADOWICKI,74704.0,181093.0,18838.0,186403.0,1380691.0,16186.0,6.0,456.0,395.0
ŻYWIECKI,13546.0,75379.0,26398.0,155078.0,1307187.0,0.0,0.0,0.0,125.0
BIALSKI (BIAŁA PODLASKA),70319.0,453404.0,29692.0,177620.0,2776212.0,0.0,6549.0,4977.0,84.0
BIŁGORAJSKI,39486.0,172983.0,29121.0,92342.0,996036.0,0.0,33274.0,9541.0,0.0
CHEŁMSKI,196908.0,368380.0,103199.0,112477.0,1934196.0,163951.0,12414.0,5583.0,45.0
GARWOLIŃSKI,66682.0,453591.0,92091.0,180027.0,3104370.0,8951.0,17864.0,14575.0,10.0
HRUBIESZOWSKI,316253.0,210065.0,118267.0,168355.0,1698471.0,346420.0,12780.0,8264.0,97.0
JANOWSKI,159962.0,408624.0,129620.0,247218.0,2329410.0,43614.0,28698.0,13366.0,55.0
KRASNOSTAWSKI,361774.0,300535.0,125280.0,177204.0,2077518.0,269292.0,13902.0,9406.0,0.0
