District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce (sztuki),Kozy (sztuki)
AUGUSTOWSKI,20293.0,32320.0,43294.0,21524.0,0.0
BIAŁOSTOCKI,31317.0,56487.0,36842.0,29472.0,40.0
BIELSKI (BIELSK PODLASKI),46092.0,75922.0,58357.0,92461.0,39.0
GRODZIEŃSKI,36069.707673765406,54723.8704988177,31918.897199568317,43866.27974188486,90.25588354719555
ŁOMŻYŃSKI,32972.435974371474,61724.98397121311,35304.300729532435,18527.168908811444,64.5817420152011
OSTROŁĘCKI,24688.564025628526,50497.0160287869,24256.69927046756,13659.83109118856,33.4182579847989
OSTROWSKI (OSTRÓW MAZOWIECKA),14839.0,33118.0,23861.0,5538.0,35.0
SOKÓLSKI,28531.0,42063.0,30200.0,46106.0,9.0
SUWALSKI,22451.0,36184.0,41714.0,23024.0,104.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),16302.0,26146.0,13112.0,9612.0,12.0
WOŁKOWYSKI,30348.0,56607.0,29218.0,61433.0,47.0
WYSOKOMAZOWIECKI,18236.0,38889.0,24745.0,4758.0,1.0
BIAŁYSTOK (MIASTO),885.0,1358.0,1873.0,34.0,139.0
BĘDZIŃSKI,5000.0,11669.0,2339.0,233.0,2685.0
CZĘSTOCHOWSKI,15716.0,45882.0,23192.0,2524.0,547.0
IŁŻECKI,18987.0,47977.0,33126.0,2282.0,306.0
JĘDRZEJOWSKI,17205.51339162956,35903.13812622465,14681.10796192401,2684.3313559090484,319.41961695903177
KIELECKI,16086.0,48130.0,14654.0,2110.0,216.0
KONECKI,11741.0,40618.0,14608.0,2677.0,199.0
KOZIENICKI,18610.0,40982.0,34503.0,1733.0,153.0
MIECHOWSKI,23477.48660837044,48587.86187377535,21558.892038075992,1286.6686440909516,1048.5803830409682
OLKUSKI,12638.0,35825.0,11193.0,1849.0,1878.0
OPATOWSKI,20665.0,53658.0,36944.0,1801.0,257.0
OPOCZYŃSKI,15979.0,38877.0,21312.0,11820.0,111.0
PIŃCZOWSKI,21242.0,45220.0,27504.0,18706.0,1157.0
RADOMSKI,23898.8988163381,53022.29066212087,34946.68911783939,33914.81228460693,2964.42627520416
SANDOMIERSKI,16945.0,40418.0,26748.0,28791.0,1908.0
STOPNICKI,23705.0,60496.0,34933.0,25410.0,662.0
WŁOSZCZOWSKI,15282.0,30031.0,19074.0,12613.0,1614.0
ZAWIERCIAŃSKI,6835.0,25361.0,17638.0,4555.0,1286.0
CZĘSTOCHOWA (MIASTO),1192.0,1177.0,1580.0,26.0,230.0
