District,Konie,Bydło rogate,Trzoda chlewna,Owce,Kozy
AUGUSTOWSKI,15342.0,28767.0,29354.0,16431.0,2.0
BIAŁOSTOCKI,30427.0,57598.0,48444.0,32714.0,27.0
BIELSKI (BIELSK PODLASKI),47086.0,82061.0,78691.0,101607.0,78.0
GRODZIEŃSKI,37939.0,59641.0,43211.0,53880.0,91.0
ŁOMŻYŃSKI,33122.10530630645,64121.1423943969,48884.25584032208,18595.523351017713,69.07219410640772
OSTROŁĘCKI,25604.894693693554,53969.85760560311,36427.74415967792,12869.47664898229,12.927805893592279
OSTROWSKI (OSTRÓW MAZOWIECKA),14844.0,34527.0,29574.0,5515.0,15.0
SOKÓLSKI,27965.0,43400.0,35490.0,48367.0,9.0
SUWALSKI,23058.0,38619.0,43797.0,24563.0,90.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),16161.0,27539.0,21100.0,9549.0,12.0
WOŁKOWYSKI,31241.0,60324.0,44202.0,67468.0,52.0
WYSOKOMAZOWIECKI,19234.0,41788.0,31338.0,3878.0,5.0
BIAŁYSTOK (MIASTO),1019.0,1326.0,2624.0,18.0,101.0
BĘDZIŃSKI,5268.0,12282.0,2492.0,247.0,3011.0
CZĘSTOCHOWSKI,16084.0,47651.0,24977.0,3257.0,705.0
IŁŻECKI,19383.0,50074.0,34491.0,1957.0,271.0
JĘDRZEJOWSKI,17729.388325952103,39640.07980844618,18317.850154391803,2685.084422961338,343.9091802242531
KIELECKI,16515.0,51803.0,14675.0,2068.0,305.0
KONECKI,11888.0,43044.0,15800.0,2770.0,243.0
KOZIENICKI,19540.0,45044.0,39002.0,1584.0,98.0
MIECHOWSKI,24084.611674047897,49576.92019155382,25761.149845608197,1255.9155770386621,1234.090819775747
OLKUSKI,13169.0,38620.0,12584.0,2584.0,2007.0
OPATOWSKI,21108.0,56354.0,37605.0,1527.0,237.0
OPOCZYŃSKI,16318.0,41163.0,24645.0,13268.0,116.0
PIŃCZOWSKI,21006.0,44988.0,21866.0,1075.0,460.0
RADOMSKI,25035.344429993736,59347.715379794434,42672.9408940121,3892.720825941969,496.20845804582115
SANDOMIERSKI,16841.0,41361.0,28470.0,1917.0,89.0
STOPNICKI,23578.0,62338.0,24787.0,466.0,133.0
WŁOSZCZOWSKI,15612.0,32773.0,15627.0,1556.0,112.0
ZAWIERCIAŃSKI,6859.0,26129.0,3587.0,1431.0,730.0
CZĘSTOCHOWA (MIASTO),1142.0,1007.0,1535.0,34.0,165.0
SOSNOWIEC,1176.0,1018.0,525.0,9.0,1302.0
RADOM (MIASTO),342.655570006263,812.2846202055632,584.0591059878998,53.279174058031124,6.791541954178828
BIALSKI (BIAŁA KRAKOWSKA),4430.416413636037,29568.561274017036,16818.898697902438,651.8461596744294,1859.3934811277877
BOCHEŃSKI,9142.0,41389.0,20662.0,276.0,558.0
BRZESKI (BRZESKO),9435.0,42476.0,18200.0,236.0,581.0
CHRZANOWSKI,4445.0,20519.0,6720.0,224.0,3517.0
DĄBROWSKI,10424.0,35076.0,17141.0,53.0,212.0
GORLICKI,9191.368046067677,52690.34906628523,17785.18471914662,2185.4475300981776,991.7582835411904
JASIELSKI,12824.467733153448,52569.4125109345,21801.098173719387,1887.2533867468987,1422.9257333181506
KRAKOWSKI,11727.521916987158,44336.33262197124,16684.020368278696,468.71083750085194,1812.2490205341408
KRAKÓW (MIASTO),1918.0,1878.0,1184.0,16.0,466.0
LIMANOWSKI,4886.0,43566.0,11206.0,5211.0,1480.0
MIELECKI,11619.21316251802,38724.41016929272,17110.485136584757,54.713760611172184,97.48997345263408
MYŚLENICKI,6925.992210511331,45007.60962544014,14405.616426994335,1179.2338398001693,1924.1430404851253
NOWOSĄDECKI,10706.802988042456,68871.10989138178,26181.04353550852,7406.566470774525,1511.550299065616
NOWOTARSKI,13755.701510898369,69425.53729723537,18456.459174050804,29979.733901609896,998.9214510027396
ROPCZYCKI,15602.532266846552,52253.58748906551,17765.901826280617,226.74661325310134,522.0742666818494
TARNOWSKI,10427.828965889868,42703.54104233299,16172.77174534486,567.9859991272974,556.6914173931938
WADOWICKI,7876.452012402134,55030.64905963463,24139.621604378393,874.8246453865632,1997.950949750792
ŻYWIECKI,5182.915935564972,49111.310121701594,12688.383728395336,4006.650616028089,1648.3420570994144
BIALSKI (BIAŁA PODLASKA),23052.279131427425,41755.913817195105,45226.33687596233,24061.894731656354,74.34302932729429
BIŁGORAJSKI,19284.0,43300.0,22760.0,1422.0,29.0
CHEŁMSKI,26907.0,45882.0,44506.0,993.0,80.0
GARWOLIŃSKI,21536.0,51817.0,57379.0,2240.0,167.0
HRUBIESZOWSKI,30315.67644092566,38688.72413397034,41586.43938815006,2299.687719938984,44.13810291994525
JANOWSKI,23575.0,55899.0,45867.0,2243.0,63.0
KRASNOSTAWSKI,25738.0,46484.0,42037.0,1588.0,41.0
LUBARTOWSKI,16700.0,33683.0,47208.0,776.0,33.0
LUBELSKI,26535.0,61262.0,69880.0,4000.0,68.0
ŁUKOWSKI,20087.0,43317.0,54245.0,5152.0,59.0
