City,Population
Warszawa,936713.0
Łódź,451974.0
Lwów,316177.0
Poznań,169422.0
Kraków,183706.0
Wilno,128954.0
Katowice,104868.0
Częstochowa,88894.0
Bydgoszcz,87643.0
Lublin,94543.0
Sosnowiec,86497.0
Białystok,76792.0
Chorzów,74811.0
Radom,61599.0
Stanisławów (dziś Iwano-Frankiwsk),52529.0
Kielce,43695.0
Włocławek,43574.0
Kalisz,44613.0
Toruń,39424.0
Przemyśl,47958.0
Piotrków (Trybunalski),41113.0
Grudziądz,33516.0
Grodno,35148.0
Brześć nad Bugiem,29553.0
Będzin,38665.0
Pabianice,38537.0
Tarnów,35347.0
Borysław,35761.0
Równe,30482.0
Tomaszów Mazowiecki,28285.0
Siemianowice Śląskie,19000.0
Dąbrowa Górnicza,30871.0
Siedlce,30676.0
Tarnopol,32003.0
Łuck,23390.0
Kołomyja,31708.0
Płock,27750.0
Zawiercie,30031.0
Drohobycz,26736.0
Pińsk,23468.0
Inowrocław,24277.0
Stryj,27358.0
Nowy Sącz,27796.0
Gdynia,23164.0
Gniezno,25694.0
Świętochłowice,23000.0
Chełm,23221.0
Hajduki Wielkie,25000.0
Kowel,20818.0
Rzeszów,24942.0
Zgierz,21129.0
Ostrowiec (Świętokrzyski),22215.0
Żyrardów,21336.0
Łomża,22014.0
Włodzimierz (dziś Ukraina),12138.0
Zamość,19023.0
Pruszków,15132.0
Kutno,18274.0
Rybnik,17500.0
Radomsko,20572.0
Mysłowice,20000.0
Zduńska Wola,18923.0
Baranowicze,11471.0
Biała Krakowska (dziś część Bielska-Białej),17072.0
Tczew,16251.0
Bielsko (dziś część Bielska-Białej),19785.0
Jarosław (nad Sanem),19973.0
Ruda Śląska,18000.0
Sambor,19417.0
Suwałki,16780.0
Czeladź,17202.0
Skierniewice,16647.0
Krzemieniec,16068.0
Mława,17003.0
Ostrów Wielkopolski,16366.0
Lida,13401.0
Leszno,16506.0
Czortków,14085.0
Jaworzno,15932.0
Lipiny,18000.0
Chrzanów,14085.0
Cieszyn,15268.0
Zakopane,8808.0
Łowicz,16451.0
Ostrów Mazowiecka,14469.0
Biała Podlaska,13088.0
Międzyrzec (nad Krzną),14211.0
Kamień Koszyrski,10971.0
Słonim,9643.0
Tarnowskie Góry,14399.0
Grodzisk Mazowiecki,11254.0
Pułtusk,13742.0
Wołkowysk,11100.0
Otwock,8560.0
Ozorków,12589.0
Skarżysko-Kamienna,8163.0
Sanok,12261.0
Chojnice,10409.0
Łuków,12571.0
Ciechanów,11977.0
Koło,13040.0
Ostrołęka,9145.0
Hrubieszów,10595.0
Starogard (Gdański),10466.0
Złoczów,11130.0
Wieluń,11032.0
Wołomin,6404.0
Brzeziny,10633.0
Mińsk Mazowiecki,11018.0
Krotoszyn,11110.0
Ostróg,13303.0
Gródek Jagielloński,10682.0
Jędrzejów,11740.0
Dubno,9146.0
Wejherowo,8786.0
Chełmno,10208.0
Brody,10867.0
Horodenka,10054.0
Bochnia,11014.0
Ruda Pabianicka,5127.0
Augustów,8762.0
Sokal,10183.0
Kałusz,8697.0
Krosno,10454.0
Oświęcim,12187.0
Brzeżany,10083.0
Dawidgródek,9851.0
Kraśnik,8903.0
Aleksandrów (Łódzki),8236.0
Mikołów,8377.0
Rawa Ruska,8970.0
Końskie,9119.0
Chełmża,10698.0
Śniatyn,10597.0
Rawicz,9250.0
Sochaczew,5445.0
Wyszków,9084.0
Bolechów,9017.0
Jaworów,9024.0
Szydłowiec,8296.0
Łęczyca,10267.0
Sieradz,9284.0
Krasnystaw,8943.0
Tomaszów Lubelski,7639.0
Lipno,8630.0
Nowy Targ,8071.0
Płońsk,9352.0
Konin,10045.0
Żółkiew,7867.0
Nakło (nad Notecią),7885.0
Kościan,7803.0
Buczacz,7517.0
Zdołbunów,7789.0
Turka,10056.0
Jasło,10391.0
Kobryń,8208.0
Sierpc,6722.0
Parczew,8291.0
Olkusz,7589.0
Sokołów Podlaski,8055.0
Dolina,8766.0
Nowogródek,6367.0
Aleksandrów Kujawski,8193.0
Opatów,8827.0
Grójec,8418.0
Turek,9948.0
Węgrów,8522.0
Nowy Dwór (Mazowiecki),7829.0
Dębica,6846.0
Rawa Mazowiecka,8185.0
Puławy,7205.0
Grajewo,7346.0
Wolbrom,7392.0
Opoczno,8252.0
Kałuszyn,7694.0
Delatyn,5973.0
Zwoleń,7817.0
Kopyczyńce,8146.0
Świecie,6600.0
Łuniniec,8267.0
Nadwórna,6062.0
Jarocin,7005.0
Wieliczka,7235.0
Pleszew,7638.0
Wąbrzeźno,7118.0
Bełchatów,7200.0
Kłobuck,6582.0
Brodnica,6913.0
Włodawa,6263.0
Lubliniec,6400.0
Żelechów,7682.0
Wadowice,6862.0
Rypin,7234.0
Szamotuły,6772.0
Żychlin,7098.0
Biłgoraj,6602.0
Konstantynów (Łódzki),5728.0
Września,6627.0
Środa (Wielkopolska),7231.0
Chmielnik,7730.0
Prużana,6332.0
Kamionka Strumiłowa (Kamionka Bużańska),6518.0
Sandomierz,6763.0
Trembowla,7015.0
Przasnysz,6340.0
Kozienice,6878.0
Gostynin,7001.0
Czersk,6700.0
Zbaraż,7728.0
Śrem,6650.0
Chodorów,4513.0
Błonie,5337.0
Lubartów,6511.0
Sarny,5931.0
Wągrowiec,6867.0
Głębokie,4514.0
Skole,5989.0
Łańcut,7056.0
Rohatyn,5790.0
Chodzież,5646.0
Pińczów,7749.0
Kościerzyna,5849.0
Wierzbnik (dziś Starachowice),5459.0
Nieśwież,7033.0
Zambrów,6160.0
Oszmiana,5876.0
Tyśmienica,7047.0
Pszczyna,6043.0
Monasterzyska,5769.0
Skałat,5937.0
Kępno,7182.0
Góra Kalwaria,5496.0
Janów Lubelski,6426.0
Piaseczno,5604.0
Mielec,5599.0
Bielsk Podlaski,4759.0
Busk,6440.0
Nowa Wilejka,10182.0
Włoszczowa,6022.0
Peczeniżyn,5984.0
Tłumacz,5908.0
Siemiatycze,5694.0
Gostyń,5816.0
Przedbórz,5885.0
Radzymin,5036.0
Kęty,5751.0
Gorlice,5611.0
Łapy,4107.0
Maków Mazowiecki,6198.0
Żywiec,5774.0
Stołpce,2956.0
Zabłotów,5777.0
Kostopol,2990.0
Łask,4890.0
Mogielnica,6043.0
Sulejów,5718.0
Sokółka,6086.0
Miechów,6223.0
Stolin,4763.0
Beresteczko,5633.0
Myślenice,5491.0
Garwolin,5336.0
Lubaczów,5344.0
Działoszyce,6755.0
Słupca,5534.0
Grodzisk (Wielkopolski),5604.0
Szczekociny,5611.0
Zakroczym,5898.0
Kozowa,4993.0
Trzebinia,4801.0
Borszczów,5122.0
Rogoźno,5528.0
Dąbrowa (Tarnowska),5498.0
Sucha (Beskidzka),5151.0
Nasielsk,5470.0
Horochów,4421.0
Mołodeczno,3957.0
Kleck,5554.0
Przeworsk,5554.0
Święciany,3981.0
Załoźce,4819.0
Krzepice,5138.0
Żory,4936.0
Wilejka,3417.0
Strzelno,4927.0
Brześć Kujawski,4634.0
Ostrzeszów,5413.0
Krynki,5206.0
Ołyka,4333.0
Podhajce,4814.0
Andrychów,4171.0
Gąbin,5777.0
Kosów Huculski,4797.0
Wołożyn,4070.0
Barysz,4795.0
Leżajsk,5063.0
Komarno (dziś Ukraina),5009.0
Koronowo,4689.0
Dobromil,5386.0
Mszczonów,5014.0
Lubawa,4635.0
Wieruszów,4799.0
Tuchola,5583.0
Nisko,5103.0
Koźmin (dziś Koźmin Wielkopolski),4999.0
Bóbrka (Ukraina),4391.0
Radziechów,4739.0
Stary Sącz,4770.0
Zbąszyń,4770.0
Chęciny,5046.0
Serock,4694.0
Radziwiłłów,4240.0
Kuty,5504.0
Przemyślany,4206.0
Radzyń (Podlaski),4833.0
Kolno,4494.0
Wronki,4621.0
Oborniki,4147.0
Trzemeszno,5093.0
Mogilno,4171.0
Zborów,3761.0
Dobrzyń nad Drwęcą,4085.0
Skała (Podolska),4248.0
Międzychód,4017.0
Szczuczyn (Białostocki),4502.0
Działdowo,3568.0
Iłża,4554.0
Żnin,4436.0
Złoczew,4913.0
Kartuzy,3717.0
Busko (dziś Busko-Zdrój),3949.0
Łosice,3888.0
Słomniki,4797.0
Solec Kujawski,3380.0
Błaszki,4736.0
Wodzisław,3561.0
Bełz,4148.0
Stary Sambor,4314.0
Stryków,4127.0
Dzisna,4413.0
Wasilków,3903.0
Budzanów,4548.0
Raciąż,4513.0
Ottynia,4455.0
Uściług,3728.0
Mościska,4751.0
Sądowa Wisznia,4309.0
Warka,4666.0
Ostrów (Lubelski),3813.0
Czarnków,3970.0
Ciechocinek,4358.0
Niepołomice,4071.0
Nowe,4011.0
Podgórz (dziś część Torunia),3232.0
Błażowa,5123.0
Kłodawa,4298.0
Krynica-Zdrój,2341.0
Kazimierz Dolny,3857.0
Wolsztyn,4124.0
Szczakowa,3723.0
Wyszogród,4297.0
Lachowicze,3400.0
Bereza Kartuska,3526.0
Żydaczów,3996.0
Rożyszcze,3263.0
Pyzdry,4614.0
Praszka,4478.0
Kowal,4063.0
