District,Area
AUGUSTOWSKI,582595.0115385404
BARANOWICKI,934210.4982560823
BIALSKI (BIAŁA KRAKOWSKA),149568.85862832138
BIALSKI (BIAŁA PODLASKA),563277.7084639532
BIAŁOSTOCKI,847640.4071266733
BIAŁYSTOK (MIASTO),12163.84846800932
BIELSKI (BIELSK PODLASKI),1365720.3994754632
BIELSKI (BIELSKO),84276.59825041739
BIELSKO (MIASTO),1102.4219287989495
BIŁGORAJSKI,424872.024269011
BOCHEŃSKI,210585.79924202617
BORSZCZOWSKI,229541.4791677391
BRASŁAWSKI,1293963.2208690187
BRODNICKI,255736.55764940925
BRODZKI,271160.6007902394
BRZESKI (BRZESKO),209471.4068930936
BRZESKI (BRZEŚĆ N.BUG.),1228500.154095746
BRZEZIŃSKI,290382.51681505353
BRZEŻAŃSKI,258375.10840861846
BRZOZOWSKI,160957.93934503806
BUCZACKI,272453.65179747966
BYDGOSKI,377520.3908373834
BYDGOSZCZ (MIASTO),17952.976520507356
BÓBRECKI,212073.28004791046
BĘDZIŃSKI,112363.10414246969
BŁOŃSKI,285793.3378863002
CHEŁMIŃSKI,206288.2335175444
CHEŁMSKI,502136.52124587994
CHODZIESKI,247944.58842527345
CHOJNICKI,530280.0194472041
CHORZÓW,6578.752935712707
CHRZANOWSKI,176079.11255541636
CIECHANOWSKI,329988.6589522164
CIESZYŃSKI,156162.43082422734
CZARNKOWSKI,237874.83681783223
CZORTKOWSKI,173492.34330032876
CZĘSTOCHOWA (MIASTO),12173.626031996222
CZĘSTOCHOWSKI,463814.91775942495
DOBROMILSKI,237887.2041516443
DOLIŃSKI,548122.7776370385
DROHICKI,617523.9644105957
DROHOBYCKI,352484.4771283964
DUBIEŃSKI,807387.5297608601
DZIAŁDOWSKI,238222.98316227394
DZIŚNIEŃSKI,1213924.9341766406
DĄBROWSKI,158127.4546563539
GARWOLIŃSKI,514347.23911334877
GDYNIA (MIASTO),9043.879656715306
GNIEZNO (MIASTO),6152.628428935071
GNIEŹNIEŃSKI,299122.25093181024
GORLICKI,260540.91534282337
GOSTYNIŃSKI,308210.89727983373
GOSTYŃSKI,181493.8906212193
GRODZIEŃSKI,1264250.218188841
GRUDZIĄDZ (MIASTO),7912.407841253963
GRUDZIĄDZKI,214572.63280351105
GRÓDECKI,216524.70928413759
GRÓJECKI,440569.45848678675
HOROCHOWSKI,423161.4097158681
HORODEŃSKI,194735.7849363087
HRUBIESZOWSKI,384687.38794570224
INOWROCŁAW (MIASTO),10142.486381951452
INOWROCŁAWSKI,269818.41834870493
IWACEWICKI,972353.3562495691
IŁŻECKI,461508.6386787364
JANOWSKI,492563.478643288
JAROCIŃSKI,298592.1381364241
JAROSŁAWSKI,322040.9874711356
JASIELSKI,248131.294141458
JAWOROWSKI,233806.0179410069
JĘDRZEJOWSKI,321363.1572703404
KALISKI,387113.8745055723
KAMIONECKI,240636.65430610298
KARTUSKI,384319.4673241328
KATOWICE (MIASTO),8978.272337101716
KATOWICKI,37801.04802739661
KAŁUSKI,261320.4469770191
KIELECKI,487635.4307206678
KOBRYŃSKI,936707.7317432897
KOLBUSZOWSKI,218395.80464658598
KOLSKI,326741.6478112542
KONECKI,475354.653741739
KONIŃSKI,630958.8210448388
KOPYCZYNIECKI,198910.3620817704
KOSOWSKI (KOSÓW HUCULSKI),410370.8635892671
KOSTOPOLSKI,887017.2607400673
KOSZYRSKI,849631.4742012512
KOWELSKI,1445670.0102885661
KOZIENICKI,479792.9498019309
KOŁOMYJSKI,307406.510363434
KOŚCIAŃSKI,287407.15763752133
KOŚCIERSKI,339562.2482616944
KRAKOWSKI,214860.70441061535
KRAKÓW (MIASTO),11637.763198941273
KRASNOSTAWSKI,380165.8899777567
KROTOSZYŃSKI,242230.14734275875
KROŚNIEŃSKI,220002.7881596875
KRZEMIENIECKI,679266.0769192288
KUTNOWSKI,244077.79928722544
KĘPIŃSKI,299776.5532961934
LESKI,430482.8841716018
LESZCZYŃSKI,215809.56723172154
LIDZKI,1213249.1304425702
LIMANOWSKI,228386.10337097722
LIPNOWSKI,420745.16900061833
LUBACZOWSKI,281327.529842032
LUBARTOWSKI,361756.9910125226
LUBAWSKI,234783.58874143596
LUBELSKI,483238.14840312436
LUBLIN (MIASTO),8639.852204947338
LUBLINIECKI,173095.08187126386
LUBOMELSKI,530610.7933743813
LWOWSKI,304246.29311067064
LWÓW (MIASTO),16663.38541089442
MAKOWSKI (MAKÓW MAZOWIECKI),311950.3469009222
MIECHOWSKI,331902.42638968123
MIELECKI,217375.41883051588
MIĘDZYCHODZKI,207238.3732191118
MIŃSKI,326643.8870005261
MOGILEŃSKI,361629.0904893707
MORSKI,399157.31313950405
MOŁODECZAŃSKI,534915.7310090669
MOŚCISKI,179199.8794536757
MYŚLENICKI,232670.23963303666
MŁAWSKI,410777.2298042225
NADWÓRNIAŃSKI,553280.8924735447
NIESZAWSKI,347060.19223456614
NIEŚWIESKI,549255.6315529043
NIŻAŃSKI,240081.28852063807
NOWOGRÓDZKI,842817.0381606255
NOWOSĄDECKI,377613.94994210533
NOWOTARSKI,459439.989133228
NOWOTOMYSKI,340997.18425467977
OBORNICKI,276685.6800808685
OLKUSKI,332671.4939048624
OPATOWSKI,411451.6311002781
OPOCZYŃSKI,458237.23819446657
