Region;District;Population_1921;Population_1931;Population_1938;Cities in district
BIAŁOSTOCKIE;AUGUSTOWSKI;8762.0;12147.0;17861.0;['Augustów']
BIAŁOSTOCKIE;BIAŁOSTOCKI;21696.0;26144.0;28328.0;['Choroszcz', 'Goniądz', 'Knyszyn', 'Starosielce', 'Supraśl', 'Suraż', 'Wasilków', 'Zabłudów']
BIAŁOSTOCKIE;BIAŁYSTOK (MIASTO);76792.0;91335.0;105346.0;['Białystok']
BIAŁOSTOCKIE;BIELSKI (BIELSK PODLASKI);17616.0;22387.0;25953.0;['Bielsk Podlaski', 'Brańsk', 'Drohiczyn nad Bugiem', 'Kleszczele', 'Siemiatycze']
BIAŁOSTOCKIE;GRODZIEŃSKI;46655.0;63683.0;73343.0;['Druskieniki', 'Grodno', 'Indura', 'Krynki', 'Skidel']
BIAŁOSTOCKIE;OSTROWSKI (OSTRÓW MAZOWIECKA);17181.0;20506.0;21728.0;['Brok', 'Ostrów Mazowiecka']
BIAŁOSTOCKIE;OSTROŁĘCKI;9145.0;13438.0;15000.0;['Ostrołęka']
BIAŁOSTOCKIE;SOKÓLSKI;11557.0;12700.0;14098.0;['Dąbrowa Grodzieńska (dziś Dąbrowa Białostocka)', 'Sokółka', 'Suchowola']
BIAŁOSTOCKIE;SUWALSKI;19034.0;25048.0;26471.0;['Sejny', 'Suwałki']
BIAŁOSTOCKIE;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);14139.0;16575.0;18026.0;['Grajewo', 'Rajgród', 'Szczuczyn (Białostocki)']
BIAŁOSTOCKIE;WOŁKOWYSKI;14035.0;18894.0;21188.0;['Świsłocz (Swisłocz)', 'Wołkowysk']
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI;16123.0;19998.0;23260.0;['Ciechanowiec', 'Łapy', 'Sokoły', 'Tykocin', 'Wysokie Mazowieckie']
BIAŁOSTOCKIE;ŁOMŻYŃSKI;38969.0;45122.0;48268.0;['Jedwabne', 'Kolno', 'Łomża', 'Nowogród', 'Stawiski', 'Zambrów']
KIELECKIE;BĘDZIŃSKI;86738.0;105857.0;113329.0;['Będzin', 'Czeladź', 'Dąbrowa Górnicza']
KIELECKIE;CZĘSTOCHOWA (MIASTO);88894.0;117588.0;138000.0;['Częstochowa']
KIELECKIE;CZĘSTOCHOWSKI;11720.0;14423.0;14686.0;['Kłobuck', 'Krzepice']
KIELECKIE;IŁŻECKI;10013.0;12478.0;18305.0;['Iłża', 'Wierzbnik (dziś Starachowice)']
KIELECKIE;JĘDRZEJOWSKI;17236.0;19937.0;22307.0;['Jędrzejów', 'Sędziszów', 'Wodzisław']
KIELECKIE;KIELECKI;48741.0;63826.0;74484.0;['Chęciny', 'Kielce']
KIELECKIE;KONECKI;31463.0;42799.0;48862.0;['Końskie', 'Przedbórz', 'Skarżysko-Kamienna', 'Szydłowiec']
KIELECKIE;KOZIENICKI;14695.0;16550.0;18190.0;['Kozienice', 'Zwoleń']
KIELECKIE;MIECHOWSKI;14317.0;14879.0;16681.0;['Miechów', 'Proszowice', 'Słomniki']
KIELECKIE;OLKUSKI;14981.0;18846.0;20992.0;['Olkusz', 'Wolbrom']
KIELECKIE;OPATOWSKI;31042.0;35502.0;38600.0;['Opatów', 'Ostrowiec (Świętokrzyski)']
KIELECKIE;OPOCZYŃSKI;8252.0;8921.0;10047.0;['Opoczno']
KIELECKIE;PIŃCZOWSKI;16766.0;15906.0;15760.0;['Działoszyce', 'Pińczów', 'Skalbmierz']
KIELECKIE;RADOM (MIASTO);61599.0;78073.0;85501.0;['Radom']
KIELECKIE;RADOMSKI;3496.0;4347.0;4628.0;['Skaryszew', 'Wyśmierzyce']
KIELECKIE;SANDOMIERSKI;18134.0;20381.0;22936.0;['Sandomierz', 'Staszów ', 'Zawichost']
KIELECKIE;SOSNOWIEC;86497.0;109454.0;130000.0;['Sosnowiec']
KIELECKIE;STOPNICKI;11679.0;13077.0;13820.0;['Busko (dziś Busko-Zdrój)', 'Chmielnik']
KIELECKIE;WŁOSZCZOWSKI;14055.0;15560.0;15940.0;['Koniecpol', 'Szczekociny', 'Włoszczowa']
KIELECKIE;ZAWIERCIAŃSKI;30031.0;32713.0;32872.0;['Zawiercie']
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA);36784.0;43576.0;53049.0;['Biała Krakowska (dziś część Bielska-Białej)', 'Kęty', 'Oświęcim', 'Wilamowice']
KRAKOWSKIE;BOCHEŃSKI;15085.0;16963.0;20115.0;['Bochnia', 'Niepołomice']
KRAKOWSKIE;BRZESKI (BRZESKO);3144.0;3672.0;3863.0;['Brzesko']
KRAKOWSKIE;CHRZANOWSKI;41474.0;50896.0;59707.0;['Chrzanów', 'Jaworzno', 'Krzeszowice', 'Szczakowa', 'Trzebinia']
KRAKOWSKIE;DĄBROWSKI;7507.0;8454.0;8853.0;['Dąbrowa (Tarnowska)', 'Żabno']
KRAKOWSKIE;GORLICKI;9284.0;10785.0;11690.0;['Biecz', 'Gorlice']
KRAKOWSKIE;JASIELSKI;10391.0;10112.0;12000.0;['Jasło']
