District,Population_Weight
AUGUSTOWSKI,72667.91664608546
BARANOWICKI,153661.5910276968
BIALSKI (BIAŁA KRAKOWSKA),136958.48847071783
BIALSKI (BIAŁA PODLASKA),113303.7532014494
BIAŁOSTOCKI,227245.84443084456
BIELSKI (BIELSK PODLASKI),198097.05574912892
BIELSKO,
BIŁGORAJSKI,114698.36669927847
BOCHEŃSKI,112530.21328774391
BORSZCZOWSKI,101587.2138623583
BRASŁAWSKI,135933.71457098285
BRODNICKI,55333.71285949453
BRODZKI,90119.26496250302
BRZESKI (BRZESKO),100756.08366013072
BRZESKI (BRZEŚĆ N.BUG.),208617.4735492281
BRZEZIŃSKI,147439.98476855925
BRZEŻAŃSKI,102242.55937025584
BRZOZOWSKI,83044.16053748231
BUCZACKI,136032.08697119128
BYDGOSKI,170560.26595670148
BÓBRECKI,95249.70850946517
BĘDZIŃSKI,462829.017676677
BŁOŃSKI,140894.65686521772
CHEŁMIŃSKI,51786.841074136144
CHEŁMSKI,159006.20238176716
CHODZIESKI,43598.191243534646
CHOJNICKI,75221.33334090497
CHORZÓW,101228.8520437486
CHRZANOWSKI,135505.17883134235
CIECHANOWSKI,77647.08735129712
CIESZYŃSKI,79842.06852695692
CZARNKOWSKI,42565.17936117936
CZORTKOWSKI,81765.16346604216
CZĘSTOCHOWSKI,294029.38303404284
DOBROMILSKI,93060.45600414078
DOLIŃSKI,116918.37054337861
DROHICKI,94215.00392436676
DROHOBYCKI,191365.8493398829
DUBIEŃSKI,220799.9153769677
DZIAŁDOWSKI,41667.62263820471
DZIŚNIEŃSKI,156116.20518831667
DĄBROWSKI,65931.08651525906
GARWOLIŃSKI,158049.56062309517
GNIEŹNIEŃSKI,86792.42505023252
GORLICKI,103346.37872044506
GOSTYNIŃSKI,81145.244637423
GOSTYŃSKI,55442.13517330835
GRODZIEŃSKI,207406.8514517218
GRUDZIĄDZKI,95363.95908383366
GRÓDECKI,83528.85524165005
GRÓJECKI,130843.99490665803
HOROCHOWSKI,119812.38484355953
HORODEŃSKI,91195.88892140129
HRUBIESZOWSKI,127215.53046438548
INOWROCŁAWSKI,81799.84717273431
IWACEWICKI,82324.18072355703
IŁŻECKI,156562.80790190736
JANOWSKI,149977.05441601542
JAROCIŃSKI,86312.32971137522
JAROSŁAWSKI,146560.73873098555
JASIELSKI,116466.45820806963
JAWOROWSKI,85374.05997095838
